,GLW
% Above Low,0.2397
% Held by Institutions,0.7354999999999999
52-Wk Range,['17.44 - 34.26']
Annual Dividend $,0.88
Annual Dividend %,0.042
Ask,21.76
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,21.53
Bid Size,100.0
Closing Price,21.62
Day Change $,0.67
Day Change %,0.032
Day High,21.73
Day Low,21.28
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",0.34
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.484
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,16.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",60.83
Prev Close,20.95
Short Interest,0.028999999999999998
Today's Open,21.35
Volume,2672013.0
Volume 10-day Avg,5286193.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.4534883720930233
Growth 1yr High Est,-0.23728813559322026
Growth 1yr Consensus Est,-0.3453882538431218
Growth 2yr Low Est,0.087085601187531
Growth 2yr High Est,0.05543000627746392
Growth 2yr Consensus Est,0.07125780373249746
Growth 5yr Low Est,0.049673752974717905
Growth 5yr High Est,0.016815579124553837
Growth 5yr Consensus Est,0.03324466604963587
Growth 5yr Actual/Est,0.04589510645167813
Growth 3yr Historic,0.005911941468513204
Price/Earnings (TTM),60.82866
Price/Sales (TTM),1.43854
Price/Book (MRQ),1.60649
Price/Cash Flow (TTM),8.7689
5yr Low,15.42
5yr High,36.56
5yr Avg Return,0.03098333333333333
EPS Growth 5yr,-0.09222770000000001
Revenue Growth 5yr,0.034364599999999995
Dividend Growth 5yr,0.1486984
Short Int Current Month,22269013.0
Short Int Prev Month,22288906.0
Short Int Pct of Float,0.0290226
Days to Cover,3.64231
Float,758.4739
Shares Outstanding,760.948
Institutions Holding Shares,1203.0
FCF Growth 5yr,0.030093259590168155
"Price/Earnings (TTM, GAAP)",60.83
"PEG Ratio (TTM, GAAP)",12.67
Gross Profit Margin (TTM),0.3156
Operating Profit Margin (TTM),0.069
Net Profit Margin (TTM),0.0329
Annual Dividend Yield,0.042
Dividend Change %,0.11109999999999999
"Dividend Growth Rate, 3 Years",0.14
EPS Growth (MRQ),-16.789
EPS Growth (TTM),-0.8516
Revenue Growth (MRQ),-0.1512
Revenue Growth (TTM),-0.044800000000000006
Return On Equity (TTM),0.0253
Return On Assets (TTM),0.013200000000000002
Return On Investment (TTM),0.015
Revenue Per Employee (TTM),223879.0
Total Debt/Total Capital (MRQ),0.3891
Change in Debt/Total Capital Quarter over Quarter,0.0027
Quick Ratio (MRQ),1.44
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
cfra,4
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
cfra since,2020-04-30 00:00:00
theStreet since,2020-02-11 00:00:00
ford since,2019-05-03 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
