,GLW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",60.83,31.71,Valuation,1.9183222958057393
Price/Sales (TTM),1.44,3.09,Valuation,0.46601941747572817
Price/Book (MRQ),1.61,4.45,Valuation,0.3617977528089888
"PEG Ratio (TTM, GAAP)",12.67,3.51,Valuation,3.60968660968661
Gross Profit Margin (TTM),0.3156,0.3607,Profitability,0.8749653451621846
Operating Profit Margin (TTM),0.069,0.0696,Profitability,0.9913793103448277
Net Profit Margin (TTM),0.0329,0.050499999999999996,Profitability,0.6514851485148515
Annual Dividend Yield,0.042,0.010700000000000001,Dividend,3.925233644859813
Dividend Change %,0.11109999999999999,0.0703,Dividend,1.580369843527738
"Dividend Growth Rate, 3 Years",0.14,0.0859,Dividend,1.6298020954598371
EPS Growth (MRQ),-16.789,-0.5093,Gowth rates,32.96485372079325
EPS Growth (TTM),-0.8516,-0.0904,Gowth rates,9.420353982300886
Revenue Growth (MRQ),-0.1512,-0.0016,Gowth rates,94.5
Revenue Growth (TTM),-0.044800000000000006,0.0201,Gowth rates,-2.2288557213930353
Return On Equity (TTM),0.0253,-0.009000000000000001,Effectiveness,-2.811111111111111
Return On Assets (TTM),0.013200000000000002,0.0556,Effectiveness,0.2374100719424461
Return On Investment (TTM),0.015,0.0645,Effectiveness,0.23255813953488372
Revenue Per Employee (TTM),223879.0,334898.0,Effectiveness,0.668499065387073
Total Debt/Total Capital (MRQ),0.3891,0.3699,Financial strength,1.0519059205190593
Change in Debt/Total Capital Quarter over Quarter,0.0027,0.0004,Financial strength,6.75
Quick Ratio (MRQ),1.44,1.96,Financial strength,0.7346938775510204
Interest Coverage (MRQ),,16.32,Financial strength,
