,HAL
% Above Low,1.5175999999999998
% Held by Institutions,0.8120999999999999
52-Wk Range,['4.25 - 27.16']
Annual Dividend $,0.72
Annual Dividend %,0.0719
Ask,10.66
Ask Size,600.0
B/A Ratio,0.3333333333333333
B/A Size,200x600
Beta,2.5
Bid,10.5
Bid Size,200.0
Closing Price,10.7
Day Change $,0.69
Day Change %,0.0689
Day High,10.71
Day Low,10.09
Dividend Pay Date,2020-03-25 00:00:00
"EPS (TTM, GAAP)",-2.62
Ex-dividend,2020-03-03 00:00:00
Ex-dividend Date,03/03/20
Historical Volatility,0.873
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,9.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,10.01
Short Interest,0.052300000000000006
Today's Open,10.28
Volume,21303492.0
Volume 10-day Avg,30057734.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-20 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-1.4188034188034189
Growth 1yr High Est,-0.8174603174603174
Growth 1yr Consensus Est,-1.1181318681318682
Growth 2yr Low Est,-0.11756497470783189
Growth 2yr High Est,-0.36525189786059353
Growth 2yr Consensus Est,-0.2414084362842127
Growth 5yr Low Est,-0.198595229040194
Growth 5yr High Est,-0.35343034325458006
Growth 5yr Consensus Est,-0.27601278614738706
Growth 5yr Actual/Est,0.5363731247738596
Growth 3yr Historic,0.05250215703192407
Price/Earnings (TTM),
Price/Sales (TTM),0.40453
Price/Book (MRQ),1.28093
Price/Cash Flow (TTM),
5yr Low,4.25
5yr High,58.78
5yr Avg Return,-0.14831666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.0737661
Dividend Growth 5yr,0.0270661
Short Int Current Month,45502406.0
Short Int Prev Month,35302958.0
Short Int Pct of Float,0.052304500000000004
Days to Cover,1.27616
Float,874.1162
Shares Outstanding,877.2776
Institutions Holding Shares,1000.0
FCF Growth 5yr,-1.211983701950309
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1085
Operating Profit Margin (TTM),-0.07150000000000001
Net Profit Margin (TTM),-0.1058
Annual Dividend Yield,0.0719
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.3848
EPS Growth (TTM),-2.3375
Revenue Growth (MRQ),-0.029700000000000004
Revenue Growth (TTM),-0.09519999999999999
Return On Equity (TTM),-0.2799
Return On Assets (TTM),-0.0907
Return On Investment (TTM),-0.1134
Revenue Per Employee (TTM),394691.0
Total Debt/Total Capital (MRQ),0.5895
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),1.47
Interest Coverage (MRQ),3.75
newConstructs,2
researchTeam,reduce
cfra,2
theStreet,sell
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-10-04 00:00:00
cfra since,2019-10-22 00:00:00
theStreet since,2020-03-12 00:00:00
ford since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-03-20 00:00:00
