,FE
% Above Low,0.2688
% Held by Institutions,0.84
52-Wk Range,['32.00 - 52.52']
Annual Dividend $,1.56
Annual Dividend %,0.0388
Ask,41.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,40.32
Bid Size,100.0
Closing Price,40.6
Day Change $,0.39
Day Change %,0.0097
Day High,40.91
Day Low,40.13
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",1.07
Ex-dividend,2020-05-06 00:00:00
Ex-dividend Date,05/06/20
Historical Volatility,0.409
Last (size),42.0
Last (time),6:30p ET 05/08/20
Market Cap,22.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",37.75
Prev Close,40.21
Short Interest,0.0105
Today's Open,40.74
Volume,2609694.0
Volume 10-day Avg,3620990.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.02127659574468077
Growth 1yr High Est,-0.011718750000000111
Growth 1yr Consensus Est,0.00477892287234033
Growth 2yr Low Est,0.041888297872340385
Growth 2yr High Est,0.021808609189723327
Growth 2yr Consensus Est,0.031848453531031856
Growth 5yr Low Est,-0.006639936379662453
Growth 5yr High Est,-0.0357812572180887
Growth 5yr Consensus Est,-0.021210596798875575
Growth 5yr Actual/Est,-0.03572192024520385
Growth 3yr Historic,-0.04005319884798708
Price/Earnings (TTM),37.7502
Price/Sales (TTM),2.0057
Price/Book (MRQ),3.19694
Price/Cash Flow (TTM),11.98895
5yr Low,27.93
5yr High,52.52
5yr Avg Return,0.03935
EPS Growth 5yr,0.26832049999999996
Revenue Growth 5yr,-0.0601621
Dividend Growth 5yr,0.0108721
Short Int Current Month,5644340.0
Short Int Prev Month,6051377.0
Short Int Pct of Float,0.010451299999999998
Days to Cover,1.32768
Float,540.3694
Shares Outstanding,541.7537
Institutions Holding Shares,888.0
FCF Growth 5yr,-0.30664347767121714
"Price/Earnings (TTM, GAAP)",37.75
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6725
Operating Profit Margin (TTM),0.12119999999999999
Net Profit Margin (TTM),0.05280000000000001
Annual Dividend Yield,0.0388
Dividend Change %,0.0556
"Dividend Growth Rate, 3 Years",0.0182
EPS Growth (MRQ),1.1343
EPS Growth (TTM),-0.4731
Revenue Growth (MRQ),0.013500000000000002
Revenue Growth (TTM),-0.0373
Return On Equity (TTM),0.0834
Return On Assets (TTM),0.0139
Return On Investment (TTM),0.0154
Revenue Per Employee (TTM),881861.0
Total Debt/Total Capital (MRQ),0.7631
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.46
Interest Coverage (MRQ),2.17
newConstructs,4
researchTeam,reduce
theStreet,sell
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-07-19 00:00:00
theStreet since,2019-07-19 00:00:00
cfra since,2019-09-26 00:00:00
ford since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
