,FE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",37.75,40.76,Valuation,0.926153091265947
Price/Sales (TTM),2.01,2.99,Valuation,0.6722408026755852
Price/Book (MRQ),3.2,1.64,Valuation,1.9512195121951221
"PEG Ratio (TTM, GAAP)",,1.75,Valuation,
Gross Profit Margin (TTM),0.6725,0.2613,Profitability,2.573670110983544
Operating Profit Margin (TTM),0.12119999999999999,0.2121,Profitability,0.5714285714285714
Net Profit Margin (TTM),0.05280000000000001,0.1267,Profitability,0.4167324388318864
Annual Dividend Yield,0.0388,0.0376,Dividend,1.0319148936170213
Dividend Change %,0.0556,0.0634,Dividend,0.8769716088328076
"Dividend Growth Rate, 3 Years",0.0182,0.0638,Dividend,0.28526645768025083
EPS Growth (MRQ),1.1343,0.141,Gowth rates,8.04468085106383
EPS Growth (TTM),-0.4731,0.23329999999999998,Gowth rates,-2.027861123017574
Revenue Growth (MRQ),0.013500000000000002,-0.0092,Gowth rates,-1.4673913043478264
Revenue Growth (TTM),-0.0373,0.0131,Gowth rates,-2.847328244274809
Return On Equity (TTM),0.0834,0.0752,Effectiveness,1.1090425531914894
Return On Assets (TTM),0.0139,0.0204,Effectiveness,0.6813725490196078
Return On Investment (TTM),0.0154,0.0233,Effectiveness,0.6609442060085837
Revenue Per Employee (TTM),881861.0,1716817.0,Effectiveness,0.513660454201001
Total Debt/Total Capital (MRQ),0.7631,0.4533,Financial strength,1.683432605338628
Change in Debt/Total Capital Quarter over Quarter,0.0004,0.0003,Financial strength,1.3333333333333335
Quick Ratio (MRQ),0.46,0.43,Financial strength,1.0697674418604652
Interest Coverage (MRQ),2.17,2.53,Financial strength,0.857707509881423
