,FOX
% Above Low,0.34500000000000003
% Held by Institutions,
52-Wk Range,['19.13 - 38.84']
Annual Dividend $,0.46
Annual Dividend %,0.0184
Ask,25.91
Ask Size,1100.0
B/A Ratio,0.9090909090909091
B/A Size,1000x1100
Beta,
Bid,24.45
Bid Size,1000.0
Closing Price,25.73
Day Change $,0.72
Day Change %,0.0288
Day High,25.95
Day Low,25.32
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2020-03-03 00:00:00
Ex-dividend Date,03/03/20
Historical Volatility,0.41700000000000004
Last (size),2.0
Last (time),4:00p ET 05/08/20
Market Cap,15.6B
"P/E Ratio (TTM, GAAP)",--x
Prev Close,25.01
Short Interest,
Today's Open,25.62
Volume,949514.0
Volume 10-day Avg,1346844.0
Volume Past Day,(Light)
5yr Low,19.13
5yr High,41.73
5yr Avg Return,-0.17605
FCF Growth 5yr,-0.17733013762722186
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
Price/Sales (TTM),
Price/Book (MRQ),
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,sell
newConstructs,
creditSuisse,
cfra,
ford,
researchTeam,
marketEdge,
theStreet since,2020-05-07 00:00:00
newConstructs since,
creditSuisse since,
cfra since,
ford since,
researchTeam since,
marketEdge since,
