,MPC
% Above Low,1.1645
% Held by Institutions,0.7439
52-Wk Range,['15.26 - 69.65']
Annual Dividend $,2.32
Annual Dividend %,0.0754
Ask,33.24
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,2.2
Bid,33.11
Bid Size,200.0
Closing Price,33.03
Day Change $,2.25
Day Change %,0.0731
Day High,33.33
Day Low,31.08
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",-10.25
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.755
Last (size),49.0
Last (time),6:30p ET 05/08/20
Market Cap,21.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,30.78
Short Interest,0.0316
Today's Open,31.64
Volume,8064345.0
Volume 10-day Avg,11066304.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-2.101871101871102
Growth 1yr High Est,-0.7165354330708662
Growth 1yr Consensus Est,-1.409203267470984
Growth 2yr Low Est,-1.5179166830110227
Growth 2yr High Est,0.6111767279090112
Growth 2yr Consensus Est,-0.4533699775510057
Growth 5yr Low Est,-0.6821920371576853
Growth 5yr High Est,0.4585071456803939
Growth 5yr Consensus Est,-0.11184244573864568
Growth 5yr Actual/Est,-0.8492779752568937
Growth 3yr Historic,0.09574160756303224
Price/Earnings (TTM),
Price/Sales (TTM),0.16647
Price/Book (MRQ),0.83058
Price/Cash Flow (TTM),
5yr Low,15.26
5yr High,88.45
5yr Avg Return,-0.05803333333333332
EPS Growth 5yr,-0.019853799999999998
Revenue Growth 5yr,0.048868600000000005
Dividend Growth 5yr,0.1817065
Short Int Current Month,20426611.0
Short Int Prev Month,18842412.0
Short Int Pct of Float,0.031609
Days to Cover,1.75405
Float,646.0938
Shares Outstanding,650.0006
Institutions Holding Shares,1393.0
FCF Growth 5yr,0.4464725212686437
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1075
Operating Profit Margin (TTM),-0.0575
Net Profit Margin (TTM),-0.0601
Annual Dividend Yield,0.07540000000000001
Dividend Change %,0.1522
"Dividend Growth Rate, 3 Years",0.1595
EPS Growth (MRQ),-21.9729
EPS Growth (TTM),-2.9621
Revenue Growth (MRQ),-0.22890000000000002
Revenue Growth (TTM),0.1286
Return On Equity (TTM),-0.22710000000000002
Return On Assets (TTM),-0.079
Return On Investment (TTM),-0.10619999999999999
Revenue Per Employee (TTM),1973092.0
Total Debt/Total Capital (MRQ),0.4954
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),0.61
Interest Coverage (MRQ),2.39
newConstructs,2
researchTeam,reduce
creditSuisse,outperform
cfra,2
theStreet,sell
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-28 00:00:00
creditSuisse since,2018-04-06 00:00:00
cfra since,2020-03-28 00:00:00
theStreet since,2020-05-06 00:00:00
ford since,2020-03-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
