,MPC
Price/Earnings (TTM),
Price/Sales (TTM),0.16647
Price/Book (MRQ),0.83058
Price/Cash Flow (TTM),
5yr Low,15.26
5yr High,88.45
5yr Avg Return,-0.05803333333333332
EPS Growth 5yr,-0.019853799999999998
Revenue Growth 5yr,0.048868600000000005
Dividend Growth 5yr,0.1817065
Short Int Current Month,20426611.0
Short Int Prev Month,18842412.0
Short Int Pct of Float,0.031609
Days to Cover,1.75405
Float,646.0938
Shares Outstanding,650.0006
Institutions Holding Shares,1393.0
% Held by Institutions,0.743922
FCF Growth 5yr,0.4464725212686437
