,CF
% Above Low,0.47140000000000004
% Held by Institutions,0.9434999999999999
52-Wk Range,['19.73 - 55.15']
Annual Dividend $,1.2
Annual Dividend %,0.0436
Ask,29.2
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.1
Bid,28.75
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,29.03
Day Change $,1.49
Day Change %,0.0541
Day High,29.2
Day Low,28.06
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",2.13
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.52
Last (size),3800.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,6.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.91
Prev Close,27.54
Short Interest,0.025699999999999997
Today's Open,28.1
Volume,1875204.0
Volume 10-day Avg,2486436.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.634020618556701
Growth 1yr High Est,-0.004237288135593098
Growth 1yr Consensus Est,-0.31912895334614705
Growth 2yr Low Est,-0.21137650646144912
Growth 2yr High Est,0.12766858997475666
Growth 2yr Consensus Est,-0.04185395824334623
Growth 5yr Low Est,-0.21137650646144912
Growth 5yr High Est,0.12766858997475666
Growth 5yr Consensus Est,-0.04185395824334623
Growth 5yr Actual/Est,-1.3010633326792982
Growth 3yr Historic,-1.274274193548387
Price/Earnings (TTM),12.91278
Price/Sales (TTM),1.29122
Price/Book (MRQ),2.15835
Price/Cash Flow (TTM),3.88132
5yr Low,19.73
5yr High,70.32
5yr Avg Return,-0.08261666666666667
EPS Growth 5yr,-0.16314299999999998
Revenue Growth 5yr,-0.0065449
Dividend Growth 5yr,0.0371373
Short Int Current Month,5472102.0
Short Int Prev Month,5398545.0
Short Int Pct of Float,0.025737700000000002
Days to Cover,1.59335
Float,212.7993
Shares Outstanding,213.797
Institutions Holding Shares,722.0
FCF Growth 5yr,-0.30217780986672643
"Price/Earnings (TTM, GAAP)",12.91
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2539
Operating Profit Margin (TTM),0.2114
Net Profit Margin (TTM),0.13570000000000002
Annual Dividend Yield,0.04360000000000001
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),0.2495
EPS Growth (TTM),0.4808
Revenue Growth (MRQ),-0.07440000000000001
Revenue Growth (TTM),0.0195
Return On Equity (TTM),0.16579999999999998
Return On Assets (TTM),0.0488
Return On Investment (TTM),0.069
Revenue Per Employee (TTM),1520000.0
Total Debt/Total Capital (MRQ),0.4521
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),0.89
Interest Coverage (MRQ),3.6
newConstructs,3
researchTeam,reduce
theStreet,hold
creditSuisse,outperform
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2020-03-19 00:00:00
creditSuisse since,2020-02-28 00:00:00
cfra since,2020-04-04 00:00:00
ford since,2019-11-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
