,Industry,Type,ZION,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.58,Valuation,9.74,1.0167014613778707
Price/Sales (TTM),2.42,Valuation,1.79,0.7396694214876034
Price/Book (MRQ),0.98,Valuation,0.73,0.7448979591836735
"PEG Ratio (TTM, GAAP)",0.92,Valuation,,
Gross Profit Margin (TTM),,Profitability,,
Operating Profit Margin (TTM),0.2975,Profitability,0.2832,0.9519327731092437
Net Profit Margin (TTM),0.24170000000000003,Profitability,0.2198,0.909391808026479
Annual Dividend Yield,0.042699999999999995,Dividend,0.0443,1.0374707259953162
Dividend Change %,0.2285,Dividend,0.23079999999999998,1.010065645514223
"Dividend Growth Rate, 3 Years",0.244,Dividend,0.6597,2.703688524590164
EPS Growth (MRQ),-0.6215,Gowth rates,-0.9636,1.5504424778761061
EPS Growth (TTM),-0.1036,Gowth rates,-0.21910000000000002,2.114864864864865
Revenue Growth (MRQ),-0.016,Gowth rates,-0.0386,2.4125
Revenue Growth (TTM),0.0529,Gowth rates,0.024100000000000003,0.4555765595463138
Return On Equity (TTM),0.09550000000000002,Effectiveness,0.083,0.869109947643979
Return On Assets (TTM),0.0096,Effectiveness,0.0088,0.9166666666666669
Return On Investment (TTM),0.0001,Effectiveness,,
Revenue Per Employee (TTM),,Effectiveness,,
Total Debt/Total Capital (MRQ),0.0005,Financial strength,,
Change in Debt/Total Capital Quarter over Quarter,0.3821,Financial strength,-0.0013000000000000002,-0.0034022507197068834
Quick Ratio (MRQ),,Financial strength,,
Interest Coverage (MRQ),0.0,Financial strength,,
