,FAST
% Below High,0.006500000000000001
% Held by Institutions,0.8287
52-Wk Range,['26.72 - 39.31']
Annual Dividend $,1.0
Annual Dividend %,0.0262
Ask,39.5
Ask Size,500.0
B/A Ratio,0.6
B/A Size,300x500
Beta,1.1
Bid,37.9
Bid Size,300.0
Closing Price,39.05
Day Change $,0.87
Day Change %,0.022799999999999997
Day High,39.11
Day Low,38.43
Dividend Pay Date,2020-05-26 00:00:00
"EPS (TTM, GAAP)",1.4
Ex-dividend,2020-04-27 00:00:00
Ex-dividend Date,04/27/20
Historical Volatility,0.41700000000000004
Last (size),30.0
Last (time),4:15p ET 05/08/20
Market Cap,22.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",27.37
Prev Close,38.18
Short Interest,0.0453
Today's Open,38.43
Volume,3231128.0
Volume 10-day Avg,4083036.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-14 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.17518248175182494
Growth 1yr High Est,-0.0071428571428571175
Growth 1yr Consensus Est,-0.09116266944734103
Growth 2yr Low Est,-0.025644338221045115
Growth 2yr High Est,0.061176772867420404
Growth 2yr Consensus Est,0.017766217323187644
Growth 5yr Low Est,-0.04254973321308664
Growth 5yr High Est,0.0024074478754131656
Growth 5yr Consensus Est,-0.020071142668836736
Growth 5yr Actual/Est,0.11252738628640974
Growth 3yr Historic,0.10450461195928756
Price/Earnings (TTM),27.36761
Price/Sales (TTM),4.0565
Price/Book (MRQ),8.23239
Price/Cash Flow (TTM),23.01402
5yr Low,17.23
5yr High,39.31
5yr Avg Return,0.12023333333333336
EPS Growth 5yr,0.10624700000000001
Revenue Growth 5yr,0.0739457
Dividend Growth 5yr,0.1171458
Short Int Current Month,25847404.0
Short Int Prev Month,26808666.0
Short Int Pct of Float,0.0453024
Days to Cover,4.99059
Float,570.803
Shares Outstanding,572.8189
Institutions Holding Shares,1083.0
FCF Growth 5yr,0.10285937394479365
"Price/Earnings (TTM, GAAP)",27.37
"PEG Ratio (TTM, GAAP)",
Annual Dividend Yield,0.0262
Dividend Change %,0.12990000000000002
"Dividend Growth Rate, 3 Years",0.1319
EPS Growth (MRQ),0.1325
EPS Growth (TTM),0.053099999999999994
Revenue Growth (MRQ),0.0706
Revenue Growth (TTM),0.059500000000000004
Return On Equity (TTM),0.3164
Return On Assets (TTM),0.2107
Return On Investment (TTM),0.24780000000000002
Revenue Per Employee (TTM),245644.0
Total Debt/Total Capital (MRQ),0.1462
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),1.93
Interest Coverage (MRQ),129.0
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
theStreet since,2015-12-24 00:00:00
cfra since,2019-07-11 00:00:00
ford since,2018-11-16 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
