,TIF
% Below High,0.0436
% Held by Institutions,0.9233
52-Wk Range,['78.60 - 134.42']
Annual Dividend $,2.32
Annual Dividend %,0.0181
Ask,142.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,110.61
Bid Size,100.0
Closing Price,128.56
Day Change $,0.39
Day Change %,0.003
Day High,128.82
Day Low,128.17
Dividend Pay Date,2020-04-10 00:00:00
"EPS (TTM, GAAP)",4.44
Ex-dividend,2020-03-19 00:00:00
Ex-dividend Date,03/19/20
Historical Volatility,0.405
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,15.6B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",28.92
Prev Close,128.17
Short Interest,0.09720000000000001
Today's Open,128.38
Volume,1806372.0
Volume 10-day Avg,1661881.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-06-05 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.9727891156462585
Growth 1yr High Est,0.09387755102040818
Growth 1yr Consensus Est,-0.43945578231292515
Growth 2yr Low Est,9.346938775510205
Growth 2yr High Est,0.07865519342065186
Growth 2yr Consensus Est,4.712796984465428
Growth 5yr Low Est,4.69963436030614
Growth 5yr High Est,0.08541278582308667
Growth 5yr Consensus Est,2.3925235730646133
Growth 5yr Actual/Est,0.030591201856341566
Growth 3yr Historic,0.0291092137122467
Price/Earnings (TTM),28.92492
Price/Sales (TTM),3.52588
Price/Book (MRQ),4.68912
Price/Cash Flow (TTM),19.47907
5yr Low,56.99
5yr High,141.64
5yr Avg Return,0.10711666666666667
EPS Growth 5yr,0.0361074
Revenue Growth 5yr,0.008061500000000001
Dividend Growth 5yr,0.0912261
Short Int Current Month,11663298.0
Short Int Prev Month,12851594.0
Short Int Pct of Float,0.097195
Days to Cover,4.48162
Float,120.1855
Shares Outstanding,121.3351
Institutions Holding Shares,831.0
FCF Growth 5yr,0.012978987042354284
"Price/Earnings (TTM, GAAP)",28.92
"PEG Ratio (TTM, GAAP)",3.56
Gross Profit Margin (TTM),0.6243
Operating Profit Margin (TTM),0.1656
Net Profit Margin (TTM),0.1223
Annual Dividend Yield,0.018000000000000002
Dividend Change %,0.0651
"Dividend Growth Rate, 3 Years",0.09380000000000001
EPS Growth (MRQ),1.53
EPS Growth (TTM),-0.0386
Revenue Growth (MRQ),0.33840000000000003
Revenue Growth (TTM),-0.0040999999999999995
Return On Equity (TTM),0.168
Return On Assets (TTM),0.0902
Return On Investment (TTM),0.10529999999999999
Revenue Per Employee (TTM),313766.0
Total Debt/Total Capital (MRQ),0.23629999999999998
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),1.45
Interest Coverage (MRQ),29.56
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromlong
marketEdge,-3
theStreet,buy
cfra,3
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-28 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2016-10-27 00:00:00
cfra since,2019-11-26 00:00:00
ford since,2018-11-30 00:00:00
creditSuisse since,2019-12-05 00:00:00
