,Industry,TIF,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.3,28.92,Valuation,1.2968609865470853
Price/Sales (TTM),202.03,3.53,Valuation,0.017472652576350046
Price/Book (MRQ),30.14,4.69,Valuation,0.15560716655607168
"PEG Ratio (TTM, GAAP)",1.1,3.56,Valuation,3.2363636363636363
Gross Profit Margin (TTM),0.3351,0.6243,Profitability,1.8630259623992838
Operating Profit Margin (TTM),0.0725,0.1656,Profitability,2.2841379310344827
Net Profit Margin (TTM),0.039900000000000005,0.1223,Profitability,3.0651629072681703
Annual Dividend Yield,0.0167,0.018000000000000002,Dividend,1.0778443113772456
Dividend Change %,0.17579999999999998,0.0651,Dividend,0.37030716723549495
"Dividend Growth Rate, 3 Years",0.16570000000000001,0.09380000000000001,Dividend,0.5660832830416416
EPS Growth (MRQ),0.33170000000000005,1.53,Gowth rates,4.612601748567982
EPS Growth (TTM),0.2023,-0.0386,Gowth rates,-0.1908057340583292
Revenue Growth (MRQ),0.0322,0.33840000000000003,Gowth rates,10.509316770186336
Revenue Growth (TTM),0.055999999999999994,-0.0040999999999999995,Gowth rates,-0.07321428571428572
Return On Equity (TTM),0.5252,0.168,Effectiveness,0.3198781416603199
Return On Assets (TTM),0.1512,0.0902,Effectiveness,0.5965608465608466
Return On Investment (TTM),0.2407,0.10529999999999999,Effectiveness,0.4374740340673037
Revenue Per Employee (TTM),323754.0,313766.0,Effectiveness,0.9691494159145524
Total Debt/Total Capital (MRQ),0.7842,0.23629999999999998,Financial strength,0.30132619229788316
Change in Debt/Total Capital Quarter over Quarter,-0.0008,-0.0017000000000000001,Financial strength,2.125
Quick Ratio (MRQ),0.38,1.45,Financial strength,3.81578947368421
Interest Coverage (MRQ),13.86,29.56,Financial strength,2.132756132756133
