,EMR
% Above Low,0.48610000000000003
% Held by Institutions,0.7147
52-Wk Range,['37.75 - 78.38']
Annual Dividend $,2.0
Annual Dividend %,0.0362
Ask,59.37
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.5
Bid,55.85
Bid Size,100.0
Closing Price,56.1
Day Change $,0.84
Day Change %,0.0152
Day High,56.45
Day Low,55.7
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",3.51
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.501
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,33.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.73
Prev Close,55.26
Short Interest,0.0165
Today's Open,56.34
Volume,2938160.0
Volume 10-day Avg,3669379.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.22222222222222232
Growth 1yr High Est,-0.1459459459459459
Growth 1yr Consensus Est,-0.1840840840840841
Growth 2yr Low Est,-0.13611111111111113
Growth 2yr High Est,0.0013941156346219397
Growth 2yr Consensus Est,-0.0673584977382446
Growth 5yr Low Est,0.02690584363826834
Growth 5yr High Est,0.0924467766892709
Growth 5yr Consensus Est,0.05967631016376962
Growth 5yr Actual/Est,0.06021309428906174
Growth 3yr Historic,0.0944840415994262
Price/Earnings (TTM),15.72688
Price/Sales (TTM),1.83721
Price/Book (MRQ),4.39242
Price/Cash Flow (TTM),10.90733
5yr Low,37.75
5yr High,79.7
5yr Avg Return,0.018966666666666666
EPS Growth 5yr,0.0351715
Revenue Growth 5yr,0.007105200000000001
Dividend Growth 5yr,0.0264683
Short Int Current Month,10033992.0
Short Int Prev Month,8464395.0
Short Int Pct of Float,0.0165094
Days to Cover,2.59042
Float,593.6368
Shares Outstanding,597.4753
Institutions Holding Shares,1765.0
FCF Growth 5yr,0.09768995102047291
"Price/Earnings (TTM, GAAP)",15.73
"PEG Ratio (TTM, GAAP)",10.71
Gross Profit Margin (TTM),0.4257
Operating Profit Margin (TTM),0.1598
Net Profit Margin (TTM),0.1218
Annual Dividend Yield,0.0362
Dividend Change %,0.0103
"Dividend Growth Rate, 3 Years",0.010400000000000001
EPS Growth (MRQ),0.5939
EPS Growth (TTM),0.0669
Revenue Growth (MRQ),0.0024
Revenue Growth (TTM),-0.005
Return On Equity (TTM),0.2698
Return On Assets (TTM),0.1023
Return On Investment (TTM),0.1562
Revenue Per Employee (TTM),204216.0
Total Debt/Total Capital (MRQ),0.5045000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),0.75
Interest Coverage (MRQ),19.0
newConstructs,2
researchTeam,hold
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2020-03-24 00:00:00
cfra since,2019-11-05 00:00:00
ford since,2020-02-07 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-01-03 00:00:00
