,EMR
Price/Earnings (TTM),15.72688
Price/Sales (TTM),1.83721
Price/Book (MRQ),4.39242
Price/Cash Flow (TTM),10.90733
5yr Low,37.75
5yr High,79.7
5yr Avg Return,0.018966666666666666
EPS Growth 5yr,0.0351715
Revenue Growth 5yr,0.007105200000000001
Dividend Growth 5yr,0.0264683
Short Int Current Month,10033992.0
Short Int Prev Month,8464395.0
Short Int Pct of Float,0.0165094
Days to Cover,2.59042
Float,593.6368
Shares Outstanding,597.4753
Institutions Holding Shares,1765.0
% Held by Institutions,0.714698
FCF Growth 5yr,0.09768995102047291
