,ALK
% Above Low,0.4985
% Held by Institutions,0.8765999999999999
52-Wk Range,['20.02 - 72.22']
Annual Dividend $,
Annual Dividend %,
Ask,30.04
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.5
Bid,29.8
Bid Size,200.0
Change Since Close,-0.05| |(-0.17%)
Closing Price,30.0
Day Change $,1.75
Day Change %,0.061900000000000004
Day High,30.16
Day Low,28.56
Dividend Pay Date,03/05/20
"EPS (TTM, GAAP)",4.26
Ex-dividend Date,02/14/20
Historical Volatility,0.625
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,29.95
Market Cap,3.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.63
Prev Close,28.25
Short Interest,0.022799999999999997
Today's Open,28.77
Volume,2769077.0
Volume 10-day Avg,3264507.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-2.6719745222929934
Growth 1yr High Est,-0.4339035769828926
Growth 1yr Consensus Est,-1.552939049637943
Growth 2yr Low Est,-1.6040824992417346
Growth 2yr High Est,0.04541084887119101
Growth 2yr Consensus Est,-0.7793358251852718
Growth 5yr Low Est,-0.7735511103687291
Growth 5yr High Est,0.04943843070032025
Growth 5yr Consensus Est,-0.3620563398342044
Growth 5yr Actual/Est,-0.80813395545656
Growth 3yr Historic,0.02778715759900588
Price/Earnings (TTM),6.62809
Price/Sales (TTM),0.40546
Price/Book (MRQ),
Price/Cash Flow (TTM),3.61484
5yr Low,20.02
5yr High,101.43
5yr Avg Return,-0.07319999999999999
EPS Growth 5yr,0.06946240000000001
Revenue Growth 5yr,0.10343379999999999
Dividend Growth 5yr,
Short Int Current Month,2788084.0
Short Int Prev Month,3991578.0
Short Int Pct of Float,0.0228473
Days to Cover,0.93759
Float,122.0371
Shares Outstanding,122.5846
Institutions Holding Shares,658.0
FCF Growth 5yr,0.5038946653582809
"Price/Earnings (TTM, GAAP)",6.63
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5547
Operating Profit Margin (TTM),0.0839
Net Profit Margin (TTM),0.062400000000000004
Annual Dividend Yield,
Dividend Change %,0.09380000000000001
"Dividend Growth Rate, 3 Years",0.0837
EPS Growth (MRQ),-2.3046
EPS Growth (TTM),0.2091
Revenue Growth (MRQ),-0.2657
Revenue Growth (TTM),0.027999999999999997
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),353899.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.004
Quick Ratio (MRQ),
Interest Coverage (MRQ),-149.0
newConstructs,1
researchTeam,hold
cfra,4
theStreet,hold
creditSuisse,outperform
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
cfra since,2017-07-26 00:00:00
theStreet since,2020-03-03 00:00:00
creditSuisse since,2018-11-19 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
