,MNST
% Below High,0.0672
% Held by Institutions,0.6846
52-Wk Range,['50.06 - 70.52']
Annual Dividend $,
Annual Dividend %,
Ask,66.96
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,60.14
Bid Size,100.0
Closing Price,65.78
Day Change $,3.69
Day Change %,0.0594
Day High,66.75
Day Low,63.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.03
Ex-dividend Date,No dividend
Historical Volatility,0.353
Last (size),48.0
Last (time),4:15p ET 05/08/20
Market Cap,34.6B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",30.64
Prev Close,62.09
Short Interest,0.013500000000000002
Today's Open,63.38
Volume,3274772.0
Volume 10-day Avg,2582006.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.01980198019801982
Growth 1yr High Est,0.33333333333333326
Growth 1yr Consensus Est,0.15676567656765672
Growth 2yr Low Est,0.048179817981798156
Growth 2yr High Est,0.130952380952381
Growth 2yr Consensus Est,0.08956609946708957
Growth 5yr Low Est,0.0879965645890215
Growth 5yr High Est,0.13234663234663235
Growth 5yr Consensus Est,0.11017159846782693
Growth 5yr Actual/Est,0.1497030742640632
Growth 3yr Historic,0.10707434052757797
Price/Earnings (TTM),30.63888
Price/Sales (TTM),7.78261
Price/Book (MRQ),7.98881
Price/Cash Flow (TTM),27.87728
5yr Low,37.69
5yr High,70.52
5yr Avg Return,0.09858333333333333
EPS Growth 5yr,0.17007560000000002
Revenue Growth 5yr,0.1125207
Dividend Growth 5yr,
Short Int Current Month,6524923.0
Short Int Prev Month,6961247.0
Short Int Pct of Float,0.0134877
Days to Cover,2.10568
Float,474.3842
Shares Outstanding,526.5474
Institutions Holding Shares,877.0
FCF Growth 5yr,0.17507589656946337
"Price/Earnings (TTM, GAAP)",30.64
"PEG Ratio (TTM, GAAP)",3.21
Gross Profit Margin (TTM),0.5845
Operating Profit Margin (TTM),0.334
Net Profit Margin (TTM),0.2637
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1358
EPS Growth (TTM),0.1487
Revenue Growth (MRQ),-0.1027
Revenue Growth (TTM),0.1034
Return On Equity (TTM),0.2847
Return On Assets (TTM),0.22899999999999998
Return On Investment (TTM),0.2633
Revenue Per Employee (TTM),1190371.0
Total Debt/Total Capital (MRQ),0.0004
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.96
Interest Coverage (MRQ),
theStreet,buy
newConstructs,3
researchTeam,reduce
creditSuisse,outperform
marketEdge opinion,neutralfromlong
marketEdge,-1
cfra,3
ford,3
theStreet since,2015-07-24 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
creditSuisse since,2019-03-06 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-01-20 00:00:00
ford since,2019-08-09 00:00:00
