,CAG
% Below High,0.0582
% Held by Institutions,0.8477
52-Wk Range,['22.83 - 35.59']
Annual Dividend $,0.85
Annual Dividend %,0.0256
Ask,33.77
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,33.13
Bid Size,100.0
Change Since Close,0.25| |(0.75%)
Closing Price,33.52
Day Change $,0.35
Day Change %,0.0106
Day High,33.69
Day Low,33.12
Dividend Pay Date,2020-06-03 00:00:00
"EPS (TTM, GAAP)",1.57
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.413
Last (size),35.0
Last (time),6:30p ET 05/08/20
Last Trade,33.77
Market Cap,16.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.13
Prev Close,33.17
Short Interest,0.026000000000000002
Today's Open,33.56
Volume,2258485.0
Volume 10-day Avg,2865005.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-06-25 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.039408866995073843
Growth 1yr High Est,0.13461538461538458
Growth 1yr Consensus Est,0.08701212580522921
Growth 2yr Low Est,-0.02057992669203651
Growth 2yr High Est,0.09273142112125166
Growth 2yr Consensus Est,0.03607574721460757
Growth 5yr Low Est,0.04387376801478954
Growth 5yr High Est,0.09719265969910523
Growth 5yr Consensus Est,0.07053321385694739
Growth 5yr Actual/Est,0.07283305810081914
Growth 3yr Historic,0.04131257830800239
Price/Earnings (TTM),21.13116
Price/Sales (TTM),1.55653
Price/Book (MRQ),2.07531
Price/Cash Flow (TTM),14.69959
5yr Low,20.22
5yr High,48.86
5yr Avg Return,0.03165
EPS Growth 5yr,-0.0831413
Revenue Growth 5yr,-0.0422813
Dividend Growth 5yr,-0.0319812
Short Int Current Month,12606981.0
Short Int Prev Month,13196873.0
Short Int Pct of Float,0.0259688
Days to Cover,2.75877
Float,485.533
Shares Outstanding,487.0763
Institutions Holding Shares,909.0
FCF Growth 5yr,-0.0844406431927623
"Price/Earnings (TTM, GAAP)",21.13
"PEG Ratio (TTM, GAAP)",2.44
Gross Profit Margin (TTM),0.2775
Operating Profit Margin (TTM),0.1383
Net Profit Margin (TTM),0.068
Annual Dividend Yield,0.0256
Dividend Change %,0.0149
"Dividend Growth Rate, 3 Years",-0.0527
EPS Growth (MRQ),-0.2161
EPS Growth (TTM),0.0825
Revenue Growth (MRQ),-0.0942
Revenue Growth (TTM),0.1674
Return On Equity (TTM),0.10099999999999999
Return On Assets (TTM),0.031400000000000004
Return On Investment (TTM),0.0358
Revenue Per Employee (TTM),576650.0
Total Debt/Total Capital (MRQ),0.5602
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),0.34
Interest Coverage (MRQ),3.33
newConstructs,3
researchTeam,accumulate
theStreet,buy
cfra,5
ford,2
marketEdge opinion,long
marketEdge,0
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2019-12-30 00:00:00
cfra since,2020-03-13 00:00:00
ford since,2020-03-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2008-06-24 00:00:00
