,2015,2016,2017,2018,2019,2020,Report
high,45.49,48.86,41.68,39.43,35.59,35.45,
low,37.12,33.61,32.16,20.22,20.8,22.83,
change,0.1273,-0.0513,-0.0514,-0.43310000000000004,0.6197,-0.0213,
Date,2015-05-31 00:00:00,2016-05-29 00:00:00,2017-05-28 00:00:00,2018-05-27 00:00:00,2019-05-26 00:00:00,,Balance Sheet
Cash & Equivalents,165.0,798.0,251.0,128.0,237.0,,Balance Sheet
Short Term Investments,40.0,26.0,3.0,6.0,6.0,,Balance Sheet
Cash and Short Term Invs,204.0,824.0,254.0,134.0,243.0,,Balance Sheet
"Trade Accts Recvble, Gross",743.0,653.0,567.0,571.0,835.0,,Balance Sheet
Prov. for Doubtful Accts,-4.0,-3.0,-3.0,-2.0,-3.0,,Balance Sheet
"Total Receivables, Net",739.0,650.0,563.0,569.0,832.0,,Balance Sheet
Invent. - Finished Goods,1073.0,699.0,613.0,648.0,1099.0,,Balance Sheet
Invent. - Work In Progress,125.0,119.0,92.0,92.0,127.0,,Balance Sheet
Invent. - Raw Materials,364.0,214.0,182.0,203.0,277.0,,Balance Sheet
Inventories - Other,80.0,51.0,47.0,46.0,69.0,,Balance Sheet
Total Inventory,1643.0,1083.0,934.0,989.0,1572.0,,Balance Sheet
Prepaid Expenses,129.0,123.0,226.0,179.0,87.0,,Balance Sheet
"Other Curr. Assets, Total",849.0,897.0,36.0,68.0,0.0,,Balance Sheet
Total Current Assets,3563.0,3577.0,2013.0,1939.0,2734.0,,Balance Sheet
Buildings,4822.0,,3313.0,3206.0,4014.0,,Balance Sheet
Land/Improvements,194.0,,112.0,107.0,144.0,,Balance Sheet
Construction in Progress,244.0,,125.0,85.0,174.0,,Balance Sheet
Other Prop./Plant/Equip.,807.0,4213.0,752.0,610.0,678.0,,Balance Sheet
Prop./Plant/Equip. - Gross,6068.0,4213.0,4302.0,4009.0,5010.0,,Balance Sheet
Accumulated Depreciation,-3424.0,-2512.0,-2637.0,-2419.0,-2615.0,,Balance Sheet
Prop./Plant/Equip. - Net,2645.0,1702.0,1665.0,1590.0,2395.0,,Balance Sheet
"Goodwill, Net",4545.0,4396.0,4298.0,4487.0,11500.0,,Balance Sheet
Intangibles - Gross,1405.0,1383.0,1414.0,1495.0,4922.0,,Balance Sheet
Accum. Intangible Amort.,-133.0,-146.0,-181.0,-212.0,-261.0,,Balance Sheet
Intangibles - Net,1273.0,1237.0,1233.0,1283.0,4661.0,,Balance Sheet
Long Term Investments,853.0,,741.0,776.0,796.0,,Balance Sheet
Other Long Term Assets,74.0,906.0,49.0,130.0,119.0,,Balance Sheet
Total Assets,17438.0,13391.0,10096.0,10390.0,22214.0,,Balance Sheet
Accounts Payable,1080.0,707.0,773.0,905.0,1255.0,,Balance Sheet
Accrued Expenses,826.0,788.0,718.0,832.0,864.0,,Balance Sheet
Notes Payable/ST Debt,8.0,14.0,28.0,277.0,1.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,1008.0,559.0,199.0,307.0,21.0,,Balance Sheet
Discontinued Operations,361.0,464.0,0.0,14.0,0.0,,Balance Sheet
Other Current Liabilities,27.0,0.0,3.0,1.0,2.0,,Balance Sheet
"Other Curr. Lblts, Total",388.0,464.0,3.0,14.0,2.0,,Balance Sheet
Total Current Liabilities,3310.0,2532.0,1721.0,2336.0,2143.0,,Balance Sheet
Total Long Term Debt,6889.0,4881.0,2769.0,3232.0,10656.0,,Balance Sheet
Total Debt,7905.0,5455.0,2996.0,3816.0,10677.0,,Balance Sheet
Minority Interest,84.0,81.0,87.0,80.0,79.0,,Balance Sheet
Pension Benefits - Underfunded,,,710.0,262.0,263.0,,Balance Sheet
Other LT Liabilities,1916.0,1876.0,819.0,799.0,1689.0,,Balance Sheet
Discont. Ops. - Lblts,713.0,306.0,0.0,4.0,0.0,,Balance Sheet
"Other Liabilities, Total",2629.0,2182.0,1529.0,1065.0,1952.0,,Balance Sheet
Total Liabilities,12912.0,9677.0,6106.0,6713.0,14829.0,,Balance Sheet
Common Stock,2840.0,2840.0,2840.0,2840.0,2921.0,,Balance Sheet
Additional Paid-In Capital,1049.0,1136.0,1172.0,1180.0,2286.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),4331.0,3218.0,4247.0,4745.0,5048.0,,Balance Sheet
Treasury Stock - Common,-3365.0,-3136.0,-4055.0,-4978.0,-2760.0,,Balance Sheet
Unrealized Gain (Loss),-1.0,,0.0,1.0,0.0,,Balance Sheet
