,KO
% Above Low,0.2713
% Held by Institutions,0.6776000000000001
52-Wk Range,['36.27 - 60.13']
Annual Dividend $,1.64
Annual Dividend %,0.0368
Ask,46.24
Ask Size,4100.0
B/A Ratio,0.024390243902439025
B/A Size,100x4100
Beta,0.6
Bid,46.12
Bid Size,100.0
Closing Price,46.11
Day Change $,1.51
Day Change %,0.0339
Day High,46.22
Day Low,44.88
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",2.32
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.32
Last (size),147.0
Last (time),6:30p ET 05/08/20
Market Cap,198.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",19.23
Prev Close,44.6
Short Interest,0.0064
Today's Open,45.08
Volume,13987843.0
Volume 10-day Avg,16427703.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.17703349282296643
Growth 1yr High Est,-0.047169811320754707
Growth 1yr Consensus Est,-0.11210165207186057
Growth 2yr Low Est,-0.04491209524869244
Growth 2yr High Est,0.04819727255744438
Growth 2yr Consensus Est,0.0016425886543759705
Growth 5yr Low Est,0.006697379227290301
Growth 5yr High Est,0.0446086008279222
Growth 5yr Consensus Est,0.02565299002760625
Growth 5yr Actual/Est,0.028169722275551146
Growth 3yr Historic,0.025857078131292788
Price/Earnings (TTM),19.22712
Price/Sales (TTM),5.15299
Price/Book (MRQ),10.547
Price/Cash Flow (TTM),16.60761
5yr Low,36.27
5yr High,60.13
5yr Avg Return,0.029516666666666667
EPS Growth 5yr,0.053274800000000004
Revenue Growth 5yr,-0.0412293
Dividend Growth 5yr,0.0587803
Short Int Current Month,27336382.0
Short Int Prev Month,28535432.0
Short Int Pct of Float,0.0064125
Days to Cover,1.54106
Float,4264.969
Shares Outstanding,4294.891
Institutions Holding Shares,2809.0
FCF Growth 5yr,0.032520798796097816
"Price/Earnings (TTM, GAAP)",19.23
"PEG Ratio (TTM, GAAP)",10.33
Gross Profit Margin (TTM),0.6066
Operating Profit Margin (TTM),0.28250000000000003
Net Profit Margin (TTM),0.2711
Annual Dividend Yield,0.0368
Dividend Change %,0.0325
"Dividend Growth Rate, 3 Years",0.0483
EPS Growth (MRQ),0.3583
EPS Growth (TTM),0.5159
Revenue Growth (MRQ),-0.051500000000000004
Revenue Growth (TTM),0.0714
Return On Equity (TTM),0.5582
Return On Assets (TTM),0.11050000000000001
Return On Investment (TTM),0.1704
Revenue Per Employee (TTM),431241.0
Total Debt/Total Capital (MRQ),0.7176
Change in Debt/Total Capital Quarter over Quarter,0.0007000000000000001
Quick Ratio (MRQ),0.76
Interest Coverage (MRQ),5.42
newConstructs,3
researchTeam,reduce
theStreet,buy
cfra,5
ford,3
marketEdge opinion,avoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-13 00:00:00
theStreet since,2018-07-18 00:00:00
cfra since,2020-03-20 00:00:00
ford since,2019-02-15 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-01-09 00:00:00
