,Industry,MHK,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.4,7.89,Valuation,0.3371794871794872
Price/Sales (TTM),43316151.74,0.58,Valuation,1.3389924467006679e-08
Price/Book (MRQ),1.19,0.73,Valuation,0.6134453781512605
"PEG Ratio (TTM, GAAP)",0.31,,Valuation,
Gross Profit Margin (TTM),0.14220000000000002,0.2787,Profitability,1.9599156118143457
Operating Profit Margin (TTM),-7.744400000000001,0.0768,Profitability,-0.00991684313826765
Net Profit Margin (TTM),-7.755700000000001,0.0747,Profitability,-0.009631625772012842
Annual Dividend Yield,0.0085,,Dividend,
Dividend Change %,0.0344,,Dividend,
"Dividend Growth Rate, 3 Years",0.0273,,Dividend,
EPS Growth (MRQ),3.0694,-0.5853,Gowth rates,-0.19068873395451882
EPS Growth (TTM),0.7537,-0.0525,Gowth rates,-0.06965636194772455
Revenue Growth (MRQ),-0.4507,-0.0572,Gowth rates,0.12691368981584203
Revenue Growth (TTM),-0.4328,-0.02,Gowth rates,0.04621072088724584
Return On Equity (TTM),0.0812,0.0951,Effectiveness,1.1711822660098523
Return On Assets (TTM),0.0333,0.0546,Effectiveness,1.6396396396396395
Return On Investment (TTM),0.0446,0.0714,Effectiveness,1.6008968609865473
Revenue Per Employee (TTM),622915.0,234783.0,Effectiveness,0.37691017233490925
Total Debt/Total Capital (MRQ),0.17120000000000002,0.2577,Financial strength,1.5052570093457942
Change in Debt/Total Capital Quarter over Quarter,-0.0003,-0.0014000000000000002,Financial strength,4.666666666666668
Quick Ratio (MRQ),0.37,0.84,Financial strength,2.27027027027027
Interest Coverage (MRQ),14.57,10.0,Financial strength,0.6863417982155113
