,RJF
% Above Low,0.2328
% Held by Institutions,0.7259
52-Wk Range,['54.21 - 102.45']
Annual Dividend $,1.48
Annual Dividend %,0.023
Ask,68.5
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.4
Bid,60.0
Bid Size,500.0
Closing Price,66.83
Day Change $,2.4
Day Change %,0.037200000000000004
Day High,67.07
Day Low,65.12
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",6.75
Ex-dividend,2020-03-31 00:00:00
Ex-dividend Date,03/31/20
Historical Volatility,0.509
Last (size),9100.0
Last (time),6:30p ET 05/08/20
Market Cap,9.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.91
Prev Close,64.43
Short Interest,0.043
Today's Open,65.96
Volume,883252.0
Volume 10-day Avg,972937.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.37241379310344835
Growth 1yr High Est,-0.2059620596205961
Growth 1yr Consensus Est,-0.28918792636202223
Growth 2yr Low Est,-0.20928381962864723
Growth 2yr High Est,-0.0782370025065438
Growth 2yr Consensus Est,-0.14376041106759552
Growth 5yr Low Est,0.003809968654352097
Growth 5yr High Est,0.06356007017529955
Growth 5yr Consensus Est,0.03368501941482582
Growth 5yr Actual/Est,0.022954823249711154
Growth 3yr Historic,0.09520850756986948
Price/Earnings (TTM),9.90701
Price/Sales (TTM),1.12746
Price/Book (MRQ),1.34473
Price/Cash Flow (TTM),8.52412
5yr Low,39.84
5yr High,102.45
5yr Avg Return,0.049249999999999995
EPS Growth 5yr,0.1661117
Revenue Growth 5yr,0.1007165
Dividend Growth 5yr,0.16315190000000002
Short Int Current Month,5339250.0
Short Int Prev Month,4996511.0
Short Int Pct of Float,0.0430433
Days to Cover,5.36459
Float,126.8784
Shares Outstanding,139.2839
Institutions Holding Shares,656.0
FCF Growth 5yr,-1.2369611759942694
"Price/Earnings (TTM, GAAP)",9.91
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9492
Operating Profit Margin (TTM),0.1584
Net Profit Margin (TTM),0.11810000000000001
Annual Dividend Yield,0.0221
Dividend Change %,0.29410000000000003
"Dividend Growth Rate, 3 Years",0.1917
EPS Growth (MRQ),-0.3652
EPS Growth (TTM),0.0006
Revenue Growth (MRQ),0.0248
Revenue Growth (TTM),0.059699999999999996
Return On Equity (TTM),0.14550000000000002
Return On Assets (TTM),0.0222
Return On Investment (TTM),0.096
Revenue Per Employee (TTM),581408.0
Total Debt/Total Capital (MRQ),0.8292
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,1
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,3
theStreet,hold
ford,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-05-07 00:00:00
theStreet since,2020-03-19 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,2018-04-26 00:00:00
