,Industry,RJF,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.92,9.91,Valuation,0.5530133928571428
Price/Sales (TTM),8.17,1.13,Valuation,0.1383108935128519
Price/Book (MRQ),82.69,1.34,Valuation,0.01620510339823437
"PEG Ratio (TTM, GAAP)",58.12,,Valuation,
Gross Profit Margin (TTM),0.46280000000000004,0.9492,Profitability,2.0509939498703544
Operating Profit Margin (TTM),0.2973,0.1584,Profitability,0.5327951564076691
Net Profit Margin (TTM),0.1956,0.11810000000000001,Profitability,0.6037832310838447
Annual Dividend Yield,0.0275,0.0221,Dividend,0.8036363636363637
Dividend Change %,0.1478,0.29410000000000003,Dividend,1.9898511502029774
"Dividend Growth Rate, 3 Years",0.15109999999999998,0.1917,Dividend,1.268696227663799
EPS Growth (MRQ),-0.354,-0.3652,Gowth rates,1.031638418079096
EPS Growth (TTM),0.0031,0.0006,Gowth rates,0.1935483870967742
Revenue Growth (MRQ),-0.2028,0.0248,Gowth rates,-0.12228796844181458
Revenue Growth (TTM),0.0079,0.059699999999999996,Gowth rates,7.556962025316454
Return On Equity (TTM),4.6817,0.14550000000000002,Effectiveness,0.03107845440758699
Return On Assets (TTM),0.0592,0.0222,Effectiveness,0.375
Return On Investment (TTM),0.1151,0.096,Effectiveness,0.8340573414422242
Revenue Per Employee (TTM),834195.0,581408.0,Effectiveness,0.6969689341221177
Total Debt/Total Capital (MRQ),0.4335,0.8292,Financial strength,1.9128027681660902
Change in Debt/Total Capital Quarter over Quarter,0.0006,0.0,Financial strength,0.0
Quick Ratio (MRQ),0.0,,Financial strength,
Interest Coverage (MRQ),13.18,,Financial strength,
