,CLX
% Below High,0.04769999999999999
% Held by Institutions,0.7639
52-Wk Range,['144.12 - 214.26']
Annual Dividend $,4.24
Annual Dividend %,0.021
Ask,204.0
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,0.2
Bid,203.5
Bid Size,100.0
Change Since Close,-0.20| |(-0.10%)
Closing Price,204.05
Day Change $,2.06
Day Change %,0.0102
Day High,206.28
Day Low,202.35
Dividend Pay Date,2020-05-08 00:00:00
"EPS (TTM, GAAP)",6.82
Ex-dividend,2020-04-21 00:00:00
Ex-dividend Date,04/21/20
Historical Volatility,0.28300000000000003
Last (size),100.0
Last (time),6:30p ET 05/08/20
Last Trade,203.85
Market Cap,25.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.62
Prev Close,201.99
Short Interest,0.083
Today's Open,203.0
Volume,1393567.0
Volume 10-day Avg,2363044.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.08814102564102555
Growth 1yr High Est,0.09748427672955984
Growth 1yr Consensus Est,0.0928126511852927
Growth 2yr Low Est,0.04554326687058641
Growth 2yr High Est,0.09816907246220108
Growth 2yr Consensus Est,0.07185616966639374
Growth 5yr Low Est,0.06799617486476822
Growth 5yr High Est,0.09267450884036571
Growth 5yr Consensus Est,0.08033534185256697
Growth 5yr Actual/Est,0.07529424986838718
Growth 3yr Historic,0.045532098338160354
Price/Earnings (TTM),29.62295
Price/Sales (TTM),3.99644
Price/Book (MRQ),36.5974
Price/Cash Flow (TTM),24.22607
5yr Low,103.77
5yr High,214.26
5yr Avg Return,0.12378333333333331
EPS Growth 5yr,0.075282
Revenue Growth 5yr,0.0241909
Dividend Growth 5yr,0.06219089999999999
Short Int Current Month,10362049.0
Short Int Prev Month,9869079.0
Short Int Pct of Float,0.0829834
Days to Cover,4.99836
Float,124.9389
Shares Outstanding,125.9338
Institutions Holding Shares,1336.0
FCF Growth 5yr,0.01848319816356405
"Price/Earnings (TTM, GAAP)",29.62
"PEG Ratio (TTM, GAAP)",5.63
Gross Profit Margin (TTM),0.45060000000000006
Operating Profit Margin (TTM),0.17
Net Profit Margin (TTM),0.13670000000000002
Annual Dividend Yield,0.021
Dividend Change %,0.1034
"Dividend Growth Rate, 3 Years",0.0763
EPS Growth (MRQ),0.2981
EPS Growth (TTM),0.11699999999999999
Revenue Growth (MRQ),0.2305
Revenue Growth (TTM),0.0139
Return On Equity (TTM),1.1789
Return On Assets (TTM),0.158
Return On Investment (TTM),0.2187
Revenue Per Employee (TTM),723295.0
Total Debt/Total Capital (MRQ),0.8088
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),0.72
Interest Coverage (MRQ),13.38
newConstructs,2
researchTeam,hold
theStreet,buy
creditSuisse,neutral
cfra,3
ford,1
marketEdge opinion,long
marketEdge,0
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-04 00:00:00
theStreet since,2012-06-26 00:00:00
creditSuisse since,2020-03-19 00:00:00
cfra since,2020-03-04 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
