,Industry,MSI,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",21.35,27.57,Valuation,1.291334894613583
Price/Sales (TTM),3.65,2.96,Valuation,0.810958904109589
Price/Book (MRQ),4.09,,Valuation,
"PEG Ratio (TTM, GAAP)",125.77,2.67,Valuation,0.02122922795579232
Gross Profit Margin (TTM),0.5957,0.49840000000000007,Profitability,0.8366627497062281
Operating Profit Margin (TTM),0.2093,0.1923,Profitability,0.9187768752986144
Net Profit Margin (TTM),0.17010000000000003,0.1104,Profitability,0.6490299823633155
Annual Dividend Yield,0.0248,0.0188,Dividend,0.7580645161290324
Dividend Change %,0.126,0.0962,Dividend,0.7634920634920634
"Dividend Growth Rate, 3 Years",0.10740000000000001,0.1161,Dividend,1.0810055865921786
EPS Growth (MRQ),-0.5058,-0.0842,Gowth rates,0.16646896006326609
EPS Growth (TTM),0.0017000000000000001,-0.039900000000000005,Gowth rates,-23.47058823529412
Revenue Growth (MRQ),-0.005,0.1916,Gowth rates,-38.32
Revenue Growth (TTM),0.044000000000000004,0.0739,Gowth rates,1.6795454545454542
Return On Equity (TTM),0.2175,,Effectiveness,
Return On Assets (TTM),0.1192,0.08689999999999999,Effectiveness,0.7290268456375838
Return On Investment (TTM),0.1602,0.1292,Effectiveness,0.8064918851435705
Revenue Per Employee (TTM),662431.0,463941.0,Effectiveness,0.7003612451711951
Total Debt/Total Capital (MRQ),0.41700000000000004,1.1536,Financial strength,2.766426858513189
Change in Debt/Total Capital Quarter over Quarter,-0.001,-0.0015,Financial strength,1.5
Quick Ratio (MRQ),2.04,1.08,Financial strength,0.5294117647058824
Interest Coverage (MRQ),1.9,11.41,Financial strength,6.0052631578947375
