,MSI
% Above Low,0.08689999999999999
% Held by Institutions,0.8568000000000001
52-Wk Range,['120.77 - 187.49']
Annual Dividend $,2.56
Annual Dividend %,0.018799999999999997
Ask,131.99
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.7
Bid,126.7
Bid Size,100.0
Closing Price,131.27
Day Change $,-4.94
Day Change %,-0.0363
Day High,135.62
Day Low,124.6
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",4.94
Ex-dividend,2020-03-12 00:00:00
Ex-dividend Date,03/12/20
Historical Volatility,0.406
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,23.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",27.57
Prev Close,136.21
Short Interest,0.020099999999999996
Today's Open,130.49
Volume,5281805.0
Volume 10-day Avg,1864480.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.12467866323907462
Growth 1yr High Est,0.11251580278128959
Growth 1yr Consensus Est,-0.006081430228892515
Growth 2yr Low Est,-0.012412753058597459
Growth 2yr High Est,0.10966699229973564
Growth 2yr Consensus Est,0.04862711962056909
Growth 5yr Low Est,0.09756452115305653
Growth 5yr High Est,0.16052356223154912
Growth 5yr Consensus Est,0.12904404169230282
Growth 5yr Actual/Est,0.12993368313703926
Growth 3yr Historic,0.1057026307026307
Price/Earnings (TTM),27.57226
Price/Sales (TTM),2.96276
Price/Book (MRQ),
Price/Cash Flow (TTM),18.34165
5yr Low,56.4
5yr High,187.49
5yr Avg Return,0.15513333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.0604547
Dividend Growth 5yr,0.12415509999999999
Short Int Current Month,3434508.0
Short Int Prev Month,3791624.0
Short Int Pct of Float,0.0201112
Days to Cover,2.84803
Float,170.824
Shares Outstanding,171.5532
Institutions Holding Shares,1016.0
FCF Growth 5yr,0.17737884649408578
"Price/Earnings (TTM, GAAP)",27.57
"PEG Ratio (TTM, GAAP)",2.67
Gross Profit Margin (TTM),0.49840000000000007
Operating Profit Margin (TTM),0.1923
Net Profit Margin (TTM),0.1104
Annual Dividend Yield,0.0188
Dividend Change %,0.0962
"Dividend Growth Rate, 3 Years",0.1161
EPS Growth (MRQ),-0.0842
EPS Growth (TTM),-0.039900000000000005
Revenue Growth (MRQ),0.1916
Revenue Growth (TTM),0.0739
Return On Equity (TTM),
Return On Assets (TTM),0.08689999999999999
Return On Investment (TTM),0.1292
Revenue Per Employee (TTM),463941.0
Total Debt/Total Capital (MRQ),1.1536
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),1.08
Interest Coverage (MRQ),11.41
theStreet,hold
newConstructs,3
researchTeam,reduce
creditSuisse,outperform
marketEdge opinion,avoid
marketEdge,0
cfra,3
ford,2
theStreet since,2020-02-07 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
creditSuisse since,2018-05-09 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2017-05-27 00:00:00
ford since,2020-05-01 00:00:00
