,MAA
% Below High,0.2237
% Held by Institutions,0.9289000000000001
52-Wk Range,['82.00 - 148.88']
Annual Dividend $,4.0
Annual Dividend %,0.0352
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,102.55
Bid Size,
Closing Price,115.57
Day Change $,1.82
Day Change %,0.016
Day High,117.14
Day Low,113.67
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",2.67
Ex-dividend,2020-04-14 00:00:00
Ex-dividend Date,04/14/20
Historical Volatility,0.43100000000000005
Last (size),18900.0
Last (time),6:30p ET 05/08/20
Market Cap,13.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",42.68
Prev Close,113.75
Short Interest,0.0111
Today's Open,115.89
Volume,598166.0
Volume 10-day Avg,744750.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.010752688172043001
Growth 1yr High Est,0.47120418848167556
Growth 1yr Consensus Est,0.23022575015481628
Growth 2yr Low Est,0.05984104721832628
Growth 2yr High Est,0.21602914050418298
Growth 2yr Consensus Est,0.13793509386125463
Growth 5yr Low Est,0.039894031478884186
Growth 5yr High Est,0.14401942700278866
Growth 5yr Consensus Est,0.09195672924083642
Growth 5yr Actual/Est,0.05515880916389451
Growth 3yr Historic,0.11116396900362235
Price/Earnings (TTM),42.67524
Price/Sales (TTM),8.11912
Price/Book (MRQ),2.16749
Price/Cash Flow (TTM),16.12818
5yr Low,72.51
5yr High,148.88
5yr Avg Return,0.08343333333333332
EPS Growth 5yr,0.09301310000000002
Revenue Growth 5yr,0.1058373
Dividend Growth 5yr,0.0563058
Short Int Current Month,1263354.0
Short Int Prev Month,1258276.0
Short Int Pct of Float,0.0111306
Days to Cover,1.22952
Float,117.5313
Shares Outstanding,118.3383
Institutions Holding Shares,749.0
FCF Growth 5yr,-0.8994150569794653
"Price/Earnings (TTM, GAAP)",42.68
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5944
Operating Profit Margin (TTM),0.264
Net Profit Margin (TTM),0.20320000000000002
Annual Dividend Yield,0.0352
Dividend Change %,0.04070000000000001
"Dividend Growth Rate, 3 Years",0.053899999999999997
EPS Growth (MRQ),-0.7258
EPS Growth (TTM),0.2982
Revenue Growth (MRQ),0.0031
Revenue Growth (TTM),0.045
Return On Equity (TTM),0.0533
Return On Assets (TTM),0.03
Return On Investment (TTM),0.0319
Revenue Per Employee (TTM),669603.0
Total Debt/Total Capital (MRQ),0.4186
Change in Debt/Total Capital Quarter over Quarter,-0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.55
newConstructs,4
researchTeam,reduce
theStreet,buy
marketEdge opinion,avoid
marketEdge,1
cfra,4
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-23 00:00:00
theStreet since,2019-02-15 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-11-01 00:00:00
ford since,2020-01-17 00:00:00
creditSuisse since,
