,MCHP
% Below High,0.2025
% Held by Institutions,1.0731
52-Wk Range,['53.15 - 112.47']
Annual Dividend $,1.47
Annual Dividend %,0.0172
Ask,90.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,89.7
Bid Size,100.0
Closing Price,89.7
Day Change $,4.2
Day Change %,0.049100000000000005
Day High,89.83
Day Low,83.5
Dividend Pay Date,2020-03-06 00:00:00
"EPS (TTM, GAAP)",2.53
Ex-dividend,2020-02-20 00:00:00
Ex-dividend Date,02/20/20
Historical Volatility,0.588
Last (size),35.0
Last (time),4:00p ET 05/08/20
Market Cap,21.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",33.84
Prev Close,85.5
Short Interest,0.1293
Today's Open,84.84
Volume,3384974.0
Volume 10-day Avg,2854189.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.09695817490494296
Growth 1yr High Est,0.15384615384615397
Growth 1yr Consensus Est,0.028443989470605502
Growth 2yr Low Est,0.06836301781068649
Growth 2yr High Est,0.18932617769827076
Growth 2yr Consensus Est,0.12884459775447862
Growth 5yr Low Est,0.03513563059609284
Growth 5yr High Est,0.10861405662716175
Growth 5yr Consensus Est,0.0718748436116273
Growth 5yr Actual/Est,0.061570269733811966
Growth 3yr Historic,0.014962532390223382
Price/Earnings (TTM),33.84276
Price/Sales (TTM),3.88065
Price/Book (MRQ),3.64638
Price/Cash Flow (TTM),11.43971
5yr Low,37.77
5yr High,112.47
5yr Avg Return,0.14429999999999998
EPS Growth 5yr,-0.040567399999999997
Revenue Growth 5yr,0.22601680000000002
Dividend Growth 5yr,0.005583
Short Int Current Month,30293503.0
Short Int Prev Month,28719515.0
Short Int Pct of Float,0.1293031
Days to Cover,7.97071
Float,234.2739
Shares Outstanding,239.5381
Institutions Holding Shares,1048.0
FCF Growth 5yr,0.21547995173759077
"Price/Earnings (TTM, GAAP)",33.84
"PEG Ratio (TTM, GAAP)",11.67
Gross Profit Margin (TTM),0.6154999999999999
Operating Profit Margin (TTM),0.1442
Net Profit Margin (TTM),0.1223
Annual Dividend Yield,0.0172
Dividend Change %,0.0055000000000000005
"Dividend Growth Rate, 3 Years",0.005600000000000001
EPS Growth (MRQ),1.8235
EPS Growth (TTM),1.6766999999999999
Revenue Growth (MRQ),-0.037700000000000004
Revenue Growth (TTM),0.0509
Return On Equity (TTM),0.1198
Return On Assets (TTM),0.0361
Return On Investment (TTM),0.0394
Revenue Per Employee (TTM),288614.0
Total Debt/Total Capital (MRQ),0.6304
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.6
Interest Coverage (MRQ),1.25
theStreet,hold
newConstructs,5
researchTeam,hold
creditSuisse,outperform
marketEdge opinion,neutralfromavoid
marketEdge,3
cfra,3
ford,2
theStreet since,2020-03-30 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
creditSuisse since,2015-08-04 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-05-14 00:00:00
ford since,2020-04-24 00:00:00
