,DXC
% Above Low,1.2342
% Held by Institutions,0.8945000000000001
52-Wk Range,['7.90 - 60.80']
Annual Dividend $,0.84
Annual Dividend %,0.048499999999999995
Ask,18.5
Ask Size,1000.0
B/A Ratio,0.5
B/A Size,500x1000
Beta,2.5
Bid,17.65
Bid Size,500.0
Closing Price,17.65
Day Change $,0.32
Day Change %,0.018500000000000003
Day High,17.91
Day Low,17.19
Dividend Pay Date,2020-04-14 00:00:00
"EPS (TTM, GAAP)",-6.25
Ex-dividend,2020-03-24 00:00:00
Ex-dividend Date,03/24/20
Historical Volatility,0.932
Last (size),500.0
Last (time),6:30p ET 05/08/20
Market Cap,4.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,17.33
Short Interest,0.0629
Today's Open,17.74
Volume,2240776.0
Volume 10-day Avg,3818473.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.37560975609756087
Growth 1yr High Est,-0.32335329341317354
Growth 1yr Consensus Est,-0.3494815247553672
Growth 2yr Low Est,-0.37530487804878043
Growth 2yr High Est,-0.09530496529065757
Growth 2yr Consensus Est,-0.235304921669719
Growth 5yr Low Est,-0.22947786343148402
Growth 5yr High Est,-0.05111428327865789
Growth 5yr Consensus Est,-0.14029607335507097
Growth 5yr Actual/Est,0.29759403491694925
Growth 3yr Historic,0.4029170390834485
Price/Earnings (TTM),
Price/Sales (TTM),0.21939
Price/Book (MRQ),0.50208
Price/Cash Flow (TTM),12.45603
5yr Low,7.9
5yr High,107.85
5yr Avg Return,-0.04928333333333334
EPS Growth 5yr,-0.059813
Revenue Growth 5yr,0.0980974
Dividend Growth 5yr,-0.0128248
Short Int Current Month,15857730.0
Short Int Prev Month,13742724.0
Short Int Pct of Float,0.0629282
Days to Cover,3.19745
Float,251.9802
Shares Outstanding,253.7206
Institutions Holding Shares,856.0
FCF Growth 5yr,2.2284673947473523
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2534
Operating Profit Margin (TTM),-0.058499999999999996
Net Profit Margin (TTM),-0.0791
Annual Dividend Yield,0.048499999999999995
Dividend Change %,0.10289999999999999
"Dividend Growth Rate, 3 Years",-0.0332
EPS Growth (MRQ),1.0391
EPS Growth (TTM),-2.2079
Revenue Growth (MRQ),0.035
Revenue Growth (TTM),-0.04820000000000001
Return On Equity (TTM),-0.1618
Return On Assets (TTM),-0.0542
Return On Investment (TTM),-0.07830000000000001
Revenue Per Employee (TTM),154169.0
Total Debt/Total Capital (MRQ),0.4943
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.28
newConstructs,3
researchTeam,reduce
theStreet,sell
cfra,3
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-11-12 00:00:00
theStreet since,2019-11-12 00:00:00
cfra since,2019-05-23 00:00:00
ford since,2020-03-20 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
