,DXC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,38.57,Valuation,
Price/Sales (TTM),0.22,10.33,Valuation,0.021297192642787996
Price/Book (MRQ),0.5,16.63,Valuation,0.03006614552014432
"PEG Ratio (TTM, GAAP)",,3.85,Valuation,
Gross Profit Margin (TTM),0.2534,0.443,Profitability,0.5720090293453725
Operating Profit Margin (TTM),-0.058499999999999996,0.3113,Profitability,-0.18792161901702537
Net Profit Margin (TTM),-0.0791,0.2429,Profitability,-0.3256484149855908
Annual Dividend Yield,0.048499999999999995,0.010400000000000001,Dividend,4.663461538461537
Dividend Change %,0.10289999999999999,0.27890000000000004,Dividend,0.3689494442452491
"Dividend Growth Rate, 3 Years",-0.0332,0.1068,Dividend,-0.31086142322097376
EPS Growth (MRQ),1.0391,-0.166,Gowth rates,-6.259638554216867
EPS Growth (TTM),-2.2079,0.1002,Gowth rates,-22.034930139720558
Revenue Growth (MRQ),0.035,0.19760000000000003,Gowth rates,0.1771255060728745
Revenue Growth (TTM),-0.04820000000000001,0.171,Gowth rates,-0.2818713450292398
Return On Equity (TTM),-0.1618,0.4304,Effectiveness,-0.37592936802973975
Return On Assets (TTM),-0.0542,0.1204,Effectiveness,-0.45016611295681064
Return On Investment (TTM),-0.07830000000000001,0.18920000000000003,Effectiveness,-0.41384778012684986
Revenue Per Employee (TTM),154169.0,654648.0,Effectiveness,0.2354990773667681
Total Debt/Total Capital (MRQ),0.4943,0.4744,Financial strength,1.0419477234401349
Change in Debt/Total Capital Quarter over Quarter,0.0015,0.0015,Financial strength,1.0
Quick Ratio (MRQ),,0.11,Financial strength,
Interest Coverage (MRQ),6.28,22.68,Financial strength,0.27689594356261027
