,CTXS
% Below High,0.009899999999999999
% Held by Institutions,0.9876
52-Wk Range,['90.28 - 152.49']
Annual Dividend $,1.4
Annual Dividend %,0.009300000000000001
Ask,151.83
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.3
Bid,149.5
Bid Size,100.0
Closing Price,150.98
Day Change $,0.3
Day Change %,0.002
Day High,151.59
Day Low,147.94
Dividend Pay Date,2020-06-19 00:00:00
"EPS (TTM, GAAP)",5.71
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.324
Last (size),50.0
Last (time),4:15p ET 05/08/20
Market Cap,18.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.37
Prev Close,150.68
Short Interest,0.039
Today's Open,151.59
Volume,1485417.0
Volume 10-day Avg,2046018.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.0248667850799289
Growth 1yr High Est,0.07350427350427369
Growth 1yr Consensus Est,0.024318744212172394
Growth 2yr Low Est,-0.00332592441610291
Growth 2yr High Est,0.08372665904513044
Growth 2yr Consensus Est,0.04020036731451376
Growth 5yr Low Est,0.04221260792274878
Growth 5yr High Est,0.09124147715905107
Growth 5yr Consensus Est,0.06672704254089992
Growth 5yr Actual/Est,0.06337344946750814
Growth 3yr Historic,0.04300702490648667
Price/Earnings (TTM),26.36667
Price/Sales (TTM),5.90082
Price/Book (MRQ),
Price/Cash Flow (TTM),22.84573
5yr Low,60.91
5yr High,152.49
5yr Avg Return,0.15385
EPS Growth 5yr,0.2790878
Revenue Growth 5yr,-0.008564
Dividend Growth 5yr,
Short Int Current Month,4711699.0
Short Int Prev Month,5067521.0
Short Int Pct of Float,0.038966
Days to Cover,1.91309
Float,122.2717
Shares Outstanding,123.4506
Institutions Holding Shares,954.0
FCF Growth 5yr,-0.03649674623559638
"Price/Earnings (TTM, GAAP)",26.37
"PEG Ratio (TTM, GAAP)",4.12
Gross Profit Margin (TTM),0.8544
Operating Profit Margin (TTM),0.195
Net Profit Margin (TTM),0.23879999999999998
Annual Dividend Yield,0.009300000000000001
Dividend Change %,3.0
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.08720000000000001
EPS Growth (TTM),0.6048
Revenue Growth (MRQ),0.0631
Revenue Growth (TTM),0.052199999999999996
Return On Equity (TTM),4.481000000000001
Return On Assets (TTM),0.1585
Return On Investment (TTM),0.3148
Revenue Per Employee (TTM),375282.0
Total Debt/Total Capital (MRQ),1.1448
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),0.77
Interest Coverage (MRQ),22.73
newConstructs,3
researchTeam,reduce
cfra,2
theStreet,buy
ford,1
marketEdge opinion,long
marketEdge,-1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-03 00:00:00
cfra since,2020-04-03 00:00:00
theStreet since,2019-01-24 00:00:00
ford since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
