,EXR
% Above Low,0.2612
% Held by Institutions,1.0112999999999999
52-Wk Range,['72.70 - 124.46']
Annual Dividend $,3.6
Annual Dividend %,0.0408
Ask,91.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.2
Bid,84.0
Bid Size,100.0
Closing Price,91.69
Day Change $,3.52
Day Change %,0.039900000000000005
Day High,92.03
Day Low,89.1
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",3.33
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.36
Last (size),21500.0
Last (time),6:30p ET 05/08/20
Market Cap,11.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",26.45
Prev Close,88.17
Short Interest,0.0393
Today's Open,89.48
Volume,847273.0
Volume 10-day Avg,1066969.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.02310231023102305
Growth 1yr High Est,0.035598705501618255
Growth 1yr Consensus Est,0.006248197635297603
Growth 2yr Low Est,-0.02337547943983581
Growth 2yr High Est,0.039674352750809105
Growth 2yr Consensus Est,0.008149436655486647
Growth 5yr Low Est,-0.02337547943983581
Growth 5yr High Est,0.039674352750809105
Growth 5yr Consensus Est,0.008149436655486647
Growth 5yr Actual/Est,-0.03465147650927472
Growth 3yr Historic,-0.04358004793784612
Price/Earnings (TTM),26.45388
Price/Sales (TTM),8.55852
Price/Book (MRQ),4.74429
Price/Cash Flow (TTM),16.86759
5yr Low,64.78
5yr High,124.46
5yr Avg Return,0.061583333333333344
EPS Growth 5yr,0.1614958
Revenue Growth 5yr,0.151198
Dividend Growth 5yr,0.144865
Short Int Current Month,4952932.0
Short Int Prev Month,4019689.0
Short Int Pct of Float,0.039275000000000004
Days to Cover,3.17832
Float,126.1188
Shares Outstanding,129.0389
Institutions Holding Shares,708.0
FCF Growth 5yr,5.937867647058823
"Price/Earnings (TTM, GAAP)",26.45
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7167
Operating Profit Margin (TTM),0.4842
Net Profit Margin (TTM),0.3461
Annual Dividend Yield,0.0408
Dividend Change %,0.059500000000000004
"Dividend Growth Rate, 3 Years",0.0671
EPS Growth (MRQ),-0.038
EPS Growth (TTM),0.061200000000000004
Revenue Growth (MRQ),-0.01
Revenue Growth (TTM),0.0873
Return On Equity (TTM),0.18100000000000002
Return On Assets (TTM),0.0552
Return On Investment (TTM),0.06
Revenue Per Employee (TTM),328399.0
Total Debt/Total Capital (MRQ),0.6487999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.05
newConstructs,2
researchTeam,reduce
theStreet,buy
cfra,2
ford,3
marketEdge opinion,avoid
marketEdge,0
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-21 00:00:00
theStreet since,2011-07-29 00:00:00
cfra since,2020-02-21 00:00:00
ford since,2019-11-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
