,AES
% Above Low,0.5869
% Held by Institutions,0.9536
52-Wk Range,['8.11 - 21.23']
Annual Dividend $,0.5732
Annual Dividend %,0.0473
Ask,12.99
Ask Size,1000.0
B/A Ratio,2.5
B/A Size,2500x1000
Beta,1.0
Bid,12.83
Bid Size,2500.0
Change Since Close,0.10| |(0.78%)
Closing Price,12.87
Day Change $,0.75
Day Change %,0.061900000000000004
Day High,12.95
Day Low,12.26
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",0.44
Ex-dividend,2020-04-30 00:00:00
Ex-dividend Date,04/30/20
Historical Volatility,0.521
Last (size),100.0
Last (time),6:30p ET 05/08/20
Last Trade,12.97
Market Cap,8.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",27.71
Prev Close,12.12
Short Interest,0.011000000000000001
Today's Open,12.41
Volume,7503201.0
Volume 10-day Avg,5280527.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.04580152671755733
Growth 1yr High Est,0.11764705882352944
Growth 1yr Consensus Est,0.08172429277054338
Growth 2yr Low Est,0.0812949239427202
Growth 2yr High Est,0.0851393188854489
Growth 2yr Consensus Est,0.08321712141408455
Growth 5yr Low Est,0.09091977980362143
Growth 5yr High Est,0.09198989822715564
Growth 5yr Consensus Est,0.09145483901538853
Growth 5yr Actual/Est,0.09879055622096322
Growth 3yr Historic,0.06123058542413384
Price/Earnings (TTM),27.70539
Price/Sales (TTM),0.81573
Price/Book (MRQ),3.17396
Price/Cash Flow (TTM),4.71721
5yr Low,8.11
5yr High,21.23
5yr Avg Return,0.041383333333333355
EPS Growth 5yr,-0.1420042
Revenue Growth 5yr,-0.08771240000000001
Dividend Growth 5yr,0.222454
Short Int Current Month,7277521.0
Short Int Prev Month,8497689.0
Short Int Pct of Float,0.0109888
Days to Cover,1.38287
Float,662.1625
Shares Outstanding,664.7682
Institutions Holding Shares,803.0
FCF Growth 5yr,-1.11646953794949
"Price/Earnings (TTM, GAAP)",27.71
"PEG Ratio (TTM, GAAP)",3.6
Gross Profit Margin (TTM),0.2298
Operating Profit Margin (TTM),0.18739999999999998
Net Profit Margin (TTM),0.0649
Annual Dividend Yield,0.04730000000000001
Dividend Change %,0.05
"Dividend Growth Rate, 3 Years",0.0746
EPS Growth (MRQ),2.8434
EPS Growth (TTM),-0.40759999999999996
Revenue Growth (MRQ),-0.0383
Revenue Growth (TTM),-0.0722
Return On Equity (TTM),0.1012
Return On Assets (TTM),0.019
Return On Investment (TTM),0.024900000000000002
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.7905
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),0.97
Interest Coverage (MRQ),3.37
newConstructs,3
researchTeam,reduce
cfra,3
theStreet,hold
ford,2
marketEdge opinion,avoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
cfra since,2019-05-07 00:00:00
theStreet since,2020-03-02 00:00:00
ford since,2020-01-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
