,AES
Price/Earnings (TTM),27.70539
Price/Sales (TTM),0.81573
Price/Book (MRQ),3.17396
Price/Cash Flow (TTM),4.71721
5yr Low,8.11
5yr High,21.23
5yr Avg Return,0.041383333333333355
EPS Growth 5yr,-0.1420042
Revenue Growth 5yr,-0.08771240000000001
Dividend Growth 5yr,0.222454
Short Int Current Month,7277521.0
Short Int Prev Month,8497689.0
Short Int Pct of Float,0.0109888
Days to Cover,1.38287
Float,662.1625
Shares Outstanding,664.7682
Institutions Holding Shares,803.0
% Held by Institutions,0.953554
FCF Growth 5yr,-1.11646953794949
