,GIS
% Below High,0.0308
% Held by Institutions,0.7103
52-Wk Range,['46.59 - 61.66']
Annual Dividend $,1.96
Annual Dividend %,0.0334
Ask,59.83
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,59.52
Bid Size,100.0
Closing Price,59.76
Day Change $,0.99
Day Change %,0.0168
Day High,60.0
Day Low,58.9
Dividend Pay Date,2020-05-01 00:00:00
"EPS (TTM, GAAP)",3.48
Ex-dividend,2020-04-08 00:00:00
Ex-dividend Date,04/08/20
Historical Volatility,0.30100000000000005
Last (size),3.0
Last (time),6:30p ET 05/08/20
Market Cap,36.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.9
Prev Close,58.77
Short Interest,0.020499999999999997
Today's Open,59.39
Volume,2039619.0
Volume 10-day Avg,2992675.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-06-24 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.09584664536741228
Growth 1yr High Est,0.12578616352201255
Growth 1yr Consensus Est,0.11081640444471241
Growth 2yr Low Est,-0.00018163358451545042
Growth 2yr High Est,0.06568637785039178
Growth 2yr Consensus Est,0.03275237213293816
Growth 5yr Low Est,0.013936422148476013
Growth 5yr High Est,0.03847019857149814
Growth 5yr Consensus Est,0.026203310359987075
Growth 5yr Actual/Est,0.028590280850304323
Growth 3yr Historic,0.01127750866496846
Price/Earnings (TTM),16.89891
Price/Sales (TTM),2.12479
Price/Book (MRQ),4.69999
Price/Cash Flow (TTM),13.19656
5yr Low,36.42
5yr High,72.95
5yr Avg Return,0.036316666666666664
EPS Growth 5yr,0.0040555
Revenue Growth 5yr,-0.011944999999999999
Dividend Growth 5yr,0.0480569
Short Int Current Month,12408641.0
Short Int Prev Month,9929411.0
Short Int Pct of Float,0.0205207
Days to Cover,2.76309
Float,605.0485
Shares Outstanding,606.1389
Institutions Holding Shares,1678.0
FCF Growth 5yr,0.053272546388873375
"Price/Earnings (TTM, GAAP)",16.9
"PEG Ratio (TTM, GAAP)",2.97
Gross Profit Margin (TTM),0.3529
Operating Profit Margin (TTM),0.17629999999999998
Net Profit Margin (TTM),0.1245
Annual Dividend Yield,0.0334
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0326
EPS Growth (MRQ),-0.22
EPS Growth (TTM),0.3676
Revenue Growth (MRQ),-0.054400000000000004
Revenue Growth (TTM),0.0103
Return On Equity (TTM),0.29309999999999997
Return On Assets (TTM),0.069
Return On Investment (TTM),0.0935
Revenue Per Employee (TTM),419133.0
Total Debt/Total Capital (MRQ),0.6187
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),0.41
Interest Coverage (MRQ),6.1
newConstructs,2
researchTeam,accumulate
theStreet,buy
cfra,4
ford,2
marketEdge opinion,long
marketEdge,0
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2019-03-18 00:00:00
cfra since,2020-03-07 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2011-07-05 00:00:00
