,GIS
Price/Earnings (TTM),16.89891
Price/Sales (TTM),2.12479
Price/Book (MRQ),4.69999
Price/Cash Flow (TTM),13.19656
5yr Low,36.42
5yr High,72.95
5yr Avg Return,0.036316666666666664
EPS Growth 5yr,0.0040555
Revenue Growth 5yr,-0.011944999999999999
Dividend Growth 5yr,0.0480569
Short Int Current Month,12408641.0
Short Int Prev Month,9929411.0
Short Int Pct of Float,0.0205207
Days to Cover,2.76309
Float,605.0485
Shares Outstanding,606.1389
Institutions Holding Shares,1678.0
% Held by Institutions,0.710283
FCF Growth 5yr,0.053272546388873375
