,MTD
% Above Low,0.24190000000000003
% Held by Institutions,0.9843000000000001
52-Wk Range,['579.40 - 873.51']
Annual Dividend $,
Annual Dividend %,
Ask,930.15
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,710.0
Bid Size,100.0
Closing Price,719.57
Day Change $,-13.17
Day Change %,-0.018000000000000002
Day High,757.42
Day Low,714.47
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",22.52
Ex-dividend Date,No dividend
Historical Volatility,0.395
Last (size),23.0
Last (time),6:30p ET 05/08/20
Market Cap,17.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",33.11
Prev Close,732.74
Short Interest,0.0347
Today's Open,741.97
Volume,182015.0
Volume 10-day Avg,152702.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.16084229390681004
Growth 1yr High Est,0.12142542894852615
Growth 1yr Consensus Est,-0.019708432479141946
Growth 2yr Low Est,0.013545751071154466
Growth 2yr High Est,0.18272134530988493
Growth 2yr Consensus Est,0.0981335481905197
Growth 5yr Low Est,0.0716783448379035
Growth 5yr High Est,0.158162354751612
Growth 5yr Consensus Est,0.11492034979475775
Growth 5yr Actual/Est,0.09820872621338317
Growth 3yr Historic,0.0692719140311644
Price/Earnings (TTM),33.10921
Price/Sales (TTM),5.89971
Price/Book (MRQ),58.24479
Price/Cash Flow (TTM),27.53107
5yr Low,275.3
5yr High,873.51
5yr Avg Return,0.1656
EPS Growth 5yr,0.1445614
Revenue Growth 5yr,0.0389024
Dividend Growth 5yr,
Short Int Current Month,816238.0
Short Int Prev Month,836423.0
Short Int Pct of Float,0.034672299999999996
Days to Cover,5.06968
Float,23.16682
Shares Outstanding,23.98052
Institutions Holding Shares,849.0
FCF Growth 5yr,0.07643305984906013
"Price/Earnings (TTM, GAAP)",33.11
"PEG Ratio (TTM, GAAP)",3.21
Gross Profit Margin (TTM),0.5787
Operating Profit Margin (TTM),0.22649999999999998
Net Profit Margin (TTM),0.1865
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5073
EPS Growth (TTM),0.1223
Revenue Growth (MRQ),0.1195
Revenue Growth (TTM),0.024900000000000002
Return On Equity (TTM),1.1102
Return On Assets (TTM),0.20750000000000002
Return On Investment (TTM),0.2863
Revenue Per Employee (TTM),183850.0
Total Debt/Total Capital (MRQ),0.7542
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),1.11
Interest Coverage (MRQ),25.47
theStreet,buy
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,3
ford,3
creditSuisse,
theStreet since,2009-05-19 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-03-15 00:00:00
ford since,2020-02-07 00:00:00
creditSuisse since,
