,AMD
% Below High,0.1026
% Held by Institutions,0.7603
52-Wk Range,['26.03 - 59.27']
Annual Dividend $,
Annual Dividend %,
Ask,53.23
Ask Size,100.0
Ask close,54.45
B/A Ratio,12.0
B/A Size,1200x100
Beta,2.2
Bid,53.22
Bid Size,1200.0
Bid close,52.99
Change Since Close,0.03| |(0.06%)
Closing Price,53.19
Day Change $,1.24
Day Change %,0.0239
Day High,53.27
Day Low,51.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.41
Ex-dividend Date,No dividend
Historical Volatility,0.579
Last (size),191.0
Last (time),4:15p ET 05/08/20
Last Trade,53.22
Market Cap,62.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",127.7
Prev Close,51.95
Short Interest,0.060599999999999994
Today's Open,52.15
Volume,40737542.0
Volume 10-day Avg,65315857.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,32.0
Growth 1yr Low Est,0.5423728813559323
Growth 1yr High Est,0.7391304347826089
Growth 1yr Consensus Est,0.6407516580692706
Growth 2yr Low Est,0.45799962749115297
Growth 2yr High Est,0.7528985507246378
Growth 2yr Consensus Est,0.6054490891078954
Growth 5yr Low Est,0.42936409274604
Growth 5yr High Est,0.6025612979673686
Growth 5yr Consensus Est,0.5159626953567042
Growth 5yr Actual/Est,0.7931452795607479
Growth 3yr Historic,0.5242966751918158
Price/Earnings (TTM),127.704
Price/Sales (TTM),8.39798
Price/Book (MRQ),20.03077
Price/Cash Flow (TTM),84.85822
5yr Low,1.61
5yr High,59.27
5yr Avg Return,0.9482666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.04099510000000001
Dividend Growth 5yr,
Short Int Current Month,70509859.0
Short Int Prev Month,66382327.0
Short Int Pct of Float,0.0606182
Days to Cover,0.96655
Float,1164.1
Shares Outstanding,1171.19
Institutions Holding Shares,1182.0
FCF Growth 5yr,-2.5343821201973755
"Price/Earnings (TTM, GAAP)",127.7
"PEG Ratio (TTM, GAAP)",3.59
Gross Profit Margin (TTM),0.4369
Operating Profit Margin (TTM),0.08310000000000001
Net Profit Margin (TTM),0.0653
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.023
EPS Growth (TTM),0.5786
Revenue Growth (MRQ),-0.16030000000000003
Revenue Growth (TTM),0.1877
Return On Equity (TTM),0.19649999999999998
Return On Assets (TTM),0.0876
Return On Investment (TTM),0.1343
Revenue Per Employee (TTM),635526.0
Total Debt/Total Capital (MRQ),0.1384
Change in Debt/Total Capital Quarter over Quarter,-0.0062
Quick Ratio (MRQ),1.68
Interest Coverage (MRQ),13.62
newConstructs,4
researchTeam,hold
theStreet,buy
cfra,4
ford,3
marketEdge opinion,long
marketEdge,-2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
theStreet since,2019-11-12 00:00:00
cfra since,2019-10-30 00:00:00
ford since,2020-03-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2016-10-12 00:00:00
