,CTAS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.19,36.18,Valuation,0.6686014372581537
Price/Sales (TTM),3.06,3.92,Valuation,0.7806122448979592
Price/Book (MRQ),6.68,5.91,Valuation,1.1302876480541455
"PEG Ratio (TTM, GAAP)",2.75,1.73,Valuation,1.5895953757225434
Gross Profit Margin (TTM),0.46140000000000003,0.4047,Profitability,1.1401037805782062
Operating Profit Margin (TTM),0.1749,0.1162,Profitability,1.5051635111876076
Net Profit Margin (TTM),0.13210000000000002,0.0641,Profitability,2.0608424336973483
Annual Dividend Yield,0.011899999999999999,0.0148,Dividend,0.804054054054054
Dividend Change %,0.26539999999999997,0.1001,Dividend,2.651348651348651
"Dividend Growth Rate, 3 Years",0.24980000000000002,0.0877,Dividend,2.8483466362599774
EPS Growth (MRQ),-0.0483,-0.08470000000000001,Gowth rates,0.5702479338842975
EPS Growth (TTM),0.16870000000000002,0.20870000000000002,Gowth rates,0.808337326305702
Revenue Growth (MRQ),-0.018000000000000002,0.057699999999999994,Gowth rates,-0.3119584055459273
Revenue Growth (TTM),0.0726,0.0665,Gowth rates,1.0917293233082705
Return On Equity (TTM),0.2927,0.2115,Effectiveness,1.3839243498817968
Return On Assets (TTM),0.1251,0.0803,Effectiveness,1.5579078455790785
Return On Investment (TTM),0.1445,0.1034,Effectiveness,1.397485493230174
Revenue Per Employee (TTM),161317.0,260020.0,Effectiveness,0.6204022767479425
Total Debt/Total Capital (MRQ),0.45170000000000005,0.49520000000000003,Financial strength,0.912156704361874
Change in Debt/Total Capital Quarter over Quarter,-0.0006,0.0004,Financial strength,-1.4999999999999998
Quick Ratio (MRQ),2.01,1.34,Financial strength,1.4999999999999998
Interest Coverage (MRQ),12.29,18.32,Financial strength,0.6708515283842794
