,CTAS
% Above Low,0.4139
% Held by Institutions,0.6562
52-Wk Range,['154.33 - 304.81']
Annual Dividend $,2.55
Annual Dividend %,0.011899999999999999
Ask,220.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,191.11
Bid Size,100.0
Closing Price,218.21
Day Change $,4.81
Day Change %,0.0225
Day High,219.0
Day Low,214.12
Dividend Pay Date,2019-12-06 00:00:00
"EPS (TTM, GAAP)",8.82
Ex-dividend,2019-11-07 00:00:00
Ex-dividend Date,11/07/19
Historical Volatility,0.474
Last (size),431.0
Last (time),4:15p ET 05/08/20
Market Cap,22.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.19
Prev Close,213.4
Short Interest,0.021099999999999997
Today's Open,216.05
Volume,374852.0
Volume 10-day Avg,705768.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-14 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.05675675675675673
Growth 1yr High Est,0.16799999999999993
Growth 1yr Consensus Est,0.0556216216216216
Growth 2yr Low Est,-0.09857895144428097
Growth 2yr High Est,0.0857123287671232
Growth 2yr Consensus Est,-0.006433311338578884
Growth 5yr Low Est,0.026969242502891566
Growth 5yr High Est,0.14970259737228994
Growth 5yr Consensus Est,0.08833591993759075
Growth 5yr Actual/Est,0.16971682709344602
Growth 3yr Historic,0.17592030928377028
Price/Earnings (TTM),24.19186
Price/Sales (TTM),3.05875
Price/Book (MRQ),6.67786
Price/Cash Flow (TTM),16.62661
5yr Low,78.0
5yr High,304.81
5yr Avg Return,0.20608333333333337
EPS Growth 5yr,0.212372
Revenue Growth 5yr,0.09048529999999999
Dividend Growth 5yr,0.2163334
Short Int Current Month,1850825.0
Short Int Prev Month,1679839.0
Short Int Pct of Float,0.0210712
Days to Cover,1.86018
Float,87.83676
Shares Outstanding,104.0502
Institutions Holding Shares,1013.0
FCF Growth 5yr,0.33014743138348546
"Price/Earnings (TTM, GAAP)",24.19
"PEG Ratio (TTM, GAAP)",2.75
Gross Profit Margin (TTM),0.46140000000000003
Operating Profit Margin (TTM),0.1749
Net Profit Margin (TTM),0.13210000000000002
Annual Dividend Yield,0.011899999999999999
Dividend Change %,0.26539999999999997
"Dividend Growth Rate, 3 Years",0.24980000000000002
EPS Growth (MRQ),-0.0483
EPS Growth (TTM),0.16870000000000002
Revenue Growth (MRQ),-0.018000000000000002
Revenue Growth (TTM),0.0726
Return On Equity (TTM),0.2927
Return On Assets (TTM),0.1251
Return On Investment (TTM),0.1445
Revenue Per Employee (TTM),161317.0
Total Debt/Total Capital (MRQ),0.45170000000000005
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),2.01
Interest Coverage (MRQ),12.29
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-27 00:00:00
theStreet since,2010-08-20 00:00:00
cfra since,2018-03-14 00:00:00
ford since,2020-02-07 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-08-09 00:00:00
