,CTAS
Price/Earnings (TTM),24.19186
Price/Sales (TTM),3.05875
Price/Book (MRQ),6.67786
Price/Cash Flow (TTM),16.62661
5yr Low,78.0
5yr High,304.81
5yr Avg Return,0.20608333333333337
EPS Growth 5yr,0.212372
Revenue Growth 5yr,0.09048529999999999
Dividend Growth 5yr,0.2163334
Short Int Current Month,1850825.0
Short Int Prev Month,1679839.0
Short Int Pct of Float,0.0210712
Days to Cover,1.86018
Float,87.83676
Shares Outstanding,104.0502
Institutions Holding Shares,1013.0
% Held by Institutions,0.656239
FCF Growth 5yr,0.33014743138348546
