,ARE
Price/Earnings (TTM),71.33104
Price/Sales (TTM),11.8566
Price/Book (MRQ),2.01985
Price/Cash Flow (TTM),21.68104
5yr Low,70.69
5yr High,175.74
5yr Avg Return,0.1012
EPS Growth 5yr,0.25650839999999997
Revenue Growth 5yr,0.1606991
Dividend Growth 5yr,0.0707998
Short Int Current Month,5189030.0
Short Int Prev Month,5489694.0
Short Int Pct of Float,0.041689
Days to Cover,6.17152
Float,124.9518
Shares Outstanding,126.1948
Institutions Holding Shares,703.0
% Held by Institutions,0.959198
FCF Growth 5yr,0.5395551789676161
