,ARE
% Below High,0.1351
% Held by Institutions,0.9592
52-Wk Range,['109.22 - 175.74']
Annual Dividend $,4.12
Annual Dividend %,0.027200000000000002
Ask,155.88
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,149.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,152.0
Day Change $,0.51
Day Change %,0.0034000000000000002
Day High,154.9
Day Low,150.95
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",2.12
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.399
Last (size),5.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,19.2B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",71.33
Prev Close,151.49
Short Interest,0.0417
Today's Open,154.21
Volume,456470.0
Volume 10-day Avg,635752.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-27 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.03821656050955413
Growth 1yr High Est,1.0185185185185186
Growth 1yr Consensus Est,0.5283675395140364
Growth 2yr Low Est,0.1448751514204213
Growth 2yr High Est,0.5627760788311248
Growth 2yr Consensus Est,0.35382561512577304
Growth 5yr Low Est,0.07243757571021064
Growth 5yr High Est,0.2813880394155624
Growth 5yr Consensus Est,0.17691280756288652
Growth 5yr Actual/Est,0.2622536848764079
Growth 3yr Historic,0.2785529344073647
Price/Earnings (TTM),71.33104
Price/Sales (TTM),11.8566
Price/Book (MRQ),2.01985
Price/Cash Flow (TTM),21.68104
5yr Low,70.69
5yr High,175.74
5yr Avg Return,0.1012
EPS Growth 5yr,0.25650839999999997
Revenue Growth 5yr,0.1606991
Dividend Growth 5yr,0.0707998
Short Int Current Month,5189030.0
Short Int Prev Month,5489694.0
Short Int Pct of Float,0.041689
Days to Cover,6.17152
Float,124.9518
Shares Outstanding,126.1948
Institutions Holding Shares,703.0
FCF Growth 5yr,0.5395551789676161
"Price/Earnings (TTM, GAAP)",71.33
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7066
Operating Profit Margin (TTM),0.2373
Net Profit Margin (TTM),0.18480000000000002
Annual Dividend Yield,0.027200000000000002
Dividend Change %,0.08470000000000001
"Dividend Growth Rate, 3 Years",-0.016200000000000003
EPS Growth (MRQ),-0.9207
EPS Growth (TTM),-0.35369999999999996
Revenue Growth (MRQ),0.0779
Revenue Growth (TTM),0.1802
Return On Equity (TTM),0.028999999999999998
Return On Assets (TTM),0.0169
Return On Investment (TTM),0.0192
Revenue Per Employee (TTM),3672832.0
Total Debt/Total Capital (MRQ),0.401
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.74
newConstructs,4
researchTeam,reduce
theStreet,buy
cfra,5
ford,3
marketEdge opinion,neutralfromlong
marketEdge,-3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
theStreet since,2018-05-01 00:00:00
cfra since,2019-08-06 00:00:00
ford since,2019-09-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
