,ARE
Next Earnings Announcement,2020-07-27 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.03821656050955413
Growth 1yr High Est,1.0185185185185186
Growth 1yr Consensus Est,0.5283675395140364
Growth 2yr Low Est,0.1448751514204213
Growth 2yr High Est,0.5627760788311248
Growth 2yr Consensus Est,0.35382561512577304
Growth 5yr Low Est,0.07243757571021064
Growth 5yr High Est,0.2813880394155624
Growth 5yr Consensus Est,0.17691280756288652
Growth 5yr Actual/Est,0.2622536848764079
Growth 3yr Historic,0.2785529344073647
