,CCI
% Below High,0.0655
% Held by Institutions,0.9064
52-Wk Range,['114.18 - 168.75']
Annual Dividend $,4.8
Annual Dividend %,0.031
Ask,159.9
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,0.4
Bid,153.01
Bid Size,300.0
Change Since Close,0.10| |(0.06%)
Closing Price,157.7
Day Change $,3.01
Day Change %,0.0195
Day High,158.24
Day Low,155.84
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",1.77
Ex-dividend,2020-03-12 00:00:00
Ex-dividend Date,03/12/20
Historical Volatility,0.401
Last (size),6.0
Last (time),6:30p ET 05/08/20
Last Trade,157.8
Market Cap,65.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",87.5
Prev Close,154.69
Short Interest,0.0173
Today's Open,157.32
Volume,1438616.0
Volume 10-day Avg,1993641.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.5736434108527131
Growth 1yr High Est,0.7007299270072991
Growth 1yr Consensus Est,0.6371866689300061
Growth 2yr Low Est,0.39273303547561766
Growth 2yr High Est,0.5413520879671688
Growth 2yr Consensus Est,0.46704256172139325
Growth 5yr Low Est,0.2618220236504118
Growth 5yr High Est,0.36090139197811255
Growth 5yr Consensus Est,0.31136170781426215
Growth 5yr Actual/Est,0.28902232867940236
Growth 3yr Historic,0.16750406383921973
Price/Earnings (TTM),87.49731
Price/Sales (TTM),11.16123
Price/Book (MRQ),6.37345
Price/Cash Flow (TTM),27.8356
5yr Low,75.71
5yr High,168.75
5yr Avg Return,0.12271666666666668
EPS Growth 5yr,0.1452282
Revenue Growth 5yr,0.1024518
Dividend Growth 5yr,0.1959414
Short Int Current Month,7164084.0
Short Int Prev Month,8004718.0
Short Int Pct of Float,0.0172835
Days to Cover,2.92551
Float,414.5281
Shares Outstanding,416.7512
Institutions Holding Shares,1353.0
FCF Growth 5yr,-0.06062604277200234
"Price/Earnings (TTM, GAAP)",87.5
"PEG Ratio (TTM, GAAP)",4.17
Gross Profit Margin (TTM),0.6581
Operating Profit Margin (TTM),0.269
Net Profit Margin (TTM),0.14730000000000001
Annual Dividend Yield,0.031000000000000003
Dividend Change %,0.0702
"Dividend Growth Rate, 3 Years",0.08220000000000001
EPS Growth (MRQ),-0.1278
EPS Growth (TTM),0.2509
Revenue Growth (MRQ),-0.0034999999999999996
Revenue Growth (TTM),0.0542
Return On Equity (TTM),0.06910000000000001
Return On Assets (TTM),0.0223
Return On Investment (TTM),0.0236
Revenue Per Employee (TTM),1132549.0
Total Debt/Total Capital (MRQ),0.6487999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.1
newConstructs,4
researchTeam,hold
cfra,3
theStreet,buy
ford,3
creditSuisse,neutral
marketEdge opinion,long
marketEdge,-2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
cfra since,2017-03-09 00:00:00
theStreet since,2019-01-24 00:00:00
ford since,2020-04-09 00:00:00
creditSuisse since,2020-04-28 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
