,NDAQ
% Below High,0.1051
% Held by Institutions,0.7759999999999999
52-Wk Range,['71.66 - 120.23']
Annual Dividend $,1.96
Annual Dividend %,0.0183
Ask,111.0
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,0.8
Bid,107.6
Bid Size,400.0
Closing Price,107.59
Day Change $,0.26
Day Change %,0.0024
Day High,109.29
Day Low,107.08
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",4.37
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.408
Last (size),29.0
Last (time),4:15p ET 05/08/20
Market Cap,17.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.54
Prev Close,107.33
Short Interest,0.025699999999999997
Today's Open,109.21
Volume,895102.0
Volume 10-day Avg,813835.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.08080808080808066
Growth 1yr High Est,0.14003944773175547
Growth 1yr Consensus Est,0.11042376426991807
Growth 2yr Low Est,0.04133861984329268
Growth 2yr High Est,0.09683633286241744
Growth 2yr Consensus Est,0.06908747635285506
Growth 5yr Low Est,0.0660200041561747
Growth 5yr High Est,0.09781921038886393
Growth 5yr Consensus Est,0.08191960727251932
Growth 5yr Actual/Est,0.08919942486556909
Growth 3yr Historic,0.05629401946016371
Price/Earnings (TTM),24.53835
Price/Sales (TTM),3.84912
Price/Book (MRQ),3.26879
Price/Cash Flow (TTM),19.141
5yr Low,47.81
5yr High,120.23
5yr Avg Return,0.14273333333333335
EPS Growth 5yr,0.1414034
Revenue Growth 5yr,0.0401814
Dividend Growth 5yr,0.2610977
Short Int Current Month,2952751.0
Short Int Prev Month,3149057.0
Short Int Pct of Float,0.025687799999999997
Days to Cover,3.34104
Float,114.9689
Shares Outstanding,164.0708
Institutions Holding Shares,775.0
FCF Growth 5yr,0.09426979735912773
"Price/Earnings (TTM, GAAP)",24.6
"PEG Ratio (TTM, GAAP)",3.29
Gross Profit Margin (TTM),0.5687
Operating Profit Margin (TTM),0.2223
Net Profit Margin (TTM),0.15960000000000002
Annual Dividend Yield,0.0182
Dividend Change %,0.0882
"Dividend Growth Rate, 3 Years",0.152
EPS Growth (MRQ),0.0001
EPS Growth (TTM),-0.1048
Revenue Growth (MRQ),0.2704
Revenue Growth (TTM),0.09820000000000001
Return On Equity (TTM),0.1341
Return On Assets (TTM),0.049800000000000004
Return On Investment (TTM),0.0802
Revenue Per Employee (TTM),1049071.0
Total Debt/Total Capital (MRQ),0.4322
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),330.0
newConstructs,3
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,buy
cfra,4
ford,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2010-10-29 00:00:00
cfra since,2020-01-30 00:00:00
ford since,2020-02-28 00:00:00
creditSuisse since,2019-12-16 00:00:00
