,Industry,NDAQ,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.36,24.6,Valuation,1.4170506912442398
Price/Sales (TTM),8.13,3.86,Valuation,0.4747847478474784
Price/Book (MRQ),80.33,3.28,Valuation,0.040831569774679444
"PEG Ratio (TTM, GAAP)",6.93,3.29,Valuation,0.47474747474747475
Gross Profit Margin (TTM),0.46159999999999995,0.5687,Profitability,1.2320190641247835
Operating Profit Margin (TTM),0.29710000000000003,0.2223,Profitability,0.748232918209357
Net Profit Margin (TTM),0.19890000000000002,0.15960000000000002,Profitability,0.8024132730015083
Annual Dividend Yield,0.027999999999999997,0.0182,Dividend,0.6500000000000001
Dividend Change %,0.1462,0.0882,Dividend,0.6032831737346102
"Dividend Growth Rate, 3 Years",0.1512,0.152,Dividend,1.0052910052910053
EPS Growth (MRQ),-0.2902,0.0001,Gowth rates,-0.00034458993797381116
EPS Growth (TTM),0.025,-0.1048,Gowth rates,-4.192
Revenue Growth (MRQ),-0.18910000000000002,0.2704,Gowth rates,-1.4299312533051294
Revenue Growth (TTM),0.0143,0.09820000000000001,Gowth rates,6.8671328671328675
Return On Equity (TTM),4.7112,0.1341,Effectiveness,0.02846408558329088
Return On Assets (TTM),0.057800000000000004,0.049800000000000004,Effectiveness,0.8615916955017301
Return On Investment (TTM),0.11359999999999999,0.0802,Effectiveness,0.7059859154929577
Revenue Per Employee (TTM),838344.0,1049071.0,Effectiveness,1.2513610164801083
Total Debt/Total Capital (MRQ),0.42210000000000003,0.4322,Financial strength,1.0239279791518596
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0013000000000000002,Financial strength,2.6
Quick Ratio (MRQ),0.0,,Financial strength,
Interest Coverage (MRQ),12.55,330.0,Financial strength,26.294820717131472
