,CTL
% Above Low,0.2181
% Held by Institutions,0.7467
52-Wk Range,['8.16 - 15.30']
Annual Dividend $,1.0
Annual Dividend %,0.105
Ask,9.96
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,1.1
Bid,9.95
Bid Size,200.0
Change Since Close,0.01| |(0.10%)
Closing Price,9.94
Day Change $,0.42
Day Change %,0.0441
Day High,10.13
Day Low,9.63
Dividend Pay Date,2020-03-20 00:00:00
"EPS (TTM, GAAP)",-4.93
Ex-dividend,2020-03-06 00:00:00
Ex-dividend Date,03/06/20
Historical Volatility,0.538
Last (size),100.0
Last (time),6:30p ET 05/08/20
Last Trade,9.95
Market Cap,10.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,9.52
Short Interest,0.0958
Today's Open,9.69
Volume,12027870.0
Volume 10-day Avg,10531515.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.17829457364341084
Growth 1yr High Est,0.11940298507462677
Growth 1yr Consensus Est,-0.029445794284392035
Growth 2yr Low Est,-0.12216615474623377
Growth 2yr High Est,0.05970149253731338
Growth 2yr Consensus Est,-0.031232331104460193
Growth 5yr Low Est,-0.12216615474623377
Growth 5yr High Est,0.05970149253731338
Growth 5yr Consensus Est,-0.031232331104460193
Growth 5yr Actual/Est,-0.027934112052373367
Growth 3yr Historic,-0.03558215739125839
Price/Earnings (TTM),
Price/Sales (TTM),0.46659
Price/Book (MRQ),0.7704
Price/Cash Flow (TTM),
5yr Low,8.16
5yr High,35.13
5yr Avg Return,-0.18565
EPS Growth 5yr,
Revenue Growth 5yr,0.0443583
Dividend Growth 5yr,-0.1427465
Short Int Current Month,104334883.0
Short Int Prev Month,102248668.0
Short Int Pct of Float,0.0957867
Days to Cover,9.00001
Float,1089.241
Shares Outstanding,1097.901
Institutions Holding Shares,929.0
FCF Growth 5yr,0.5950983957769691
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5502
Operating Profit Margin (TTM),-0.1217
Net Profit Margin (TTM),-0.2352
Annual Dividend Yield,0.105
Dividend Change %,-0.537
"Dividend Growth Rate, 3 Years",-0.22640000000000002
EPS Growth (MRQ),-0.2604
EPS Growth (TTM),-2.1982
Revenue Growth (MRQ),-0.0064
Revenue Growth (TTM),-0.0444
Return On Equity (TTM),-0.3165
Return On Assets (TTM),-0.0781
Return On Investment (TTM),-0.0862
Revenue Per Employee (TTM),527082.0
Total Debt/Total Capital (MRQ),0.7203
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),0.64
Interest Coverage (MRQ),2.23
newConstructs,3
researchTeam,reduce
theStreet,hold
cfra,2
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-01-25 00:00:00
theStreet since,2020-05-07 00:00:00
cfra since,2019-03-06 00:00:00
ford since,2019-09-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
