,FRC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.84,9.18,Valuation,2.161220043572985
Price/Sales (TTM),5.06,2.36,Valuation,2.1440677966101696
Price/Book (MRQ),1.89,0.96,Valuation,1.96875
"PEG Ratio (TTM, GAAP)",9.68,1.0,Valuation,9.68
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.3295,0.3005,Profitability,1.096505823627288
Net Profit Margin (TTM),0.26739999999999997,0.24480000000000002,Profitability,1.0923202614379084
Annual Dividend Yield,0.0079,0.043899999999999995,Dividend,0.17995444191343968
Dividend Change %,0.0563,0.2285,Dividend,0.24638949671772428
"Dividend Growth Rate, 3 Years",0.059800000000000006,0.24350000000000002,Dividend,0.2455852156057495
EPS Growth (MRQ),-0.1349,-0.5670000000000001,Gowth rates,0.23791887125220454
EPS Growth (TTM),0.0408,-0.0913,Gowth rates,-0.44687842278203727
Revenue Growth (MRQ),0.020499999999999997,-0.016399999999999998,Gowth rates,-1.25
Revenue Growth (TTM),0.1562,0.052300000000000006,Gowth rates,2.9866156787762903
Return On Equity (TTM),0.1008,0.0968,Effectiveness,1.0413223140495869
Return On Assets (TTM),0.008199999999999999,0.0097,Effectiveness,0.8453608247422679
Return On Investment (TTM),,0.0001,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0005,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002,0.3811,Financial strength,-0.0034111781684597223
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,0.0,Financial strength,
