,UNP
% Below High,0.1625
% Held by Institutions,0.8073
52-Wk Range,['105.08 - 188.96']
Annual Dividend $,3.88
Annual Dividend %,0.0248
Ask,159.95
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.1
Bid,154.21
Bid Size,200.0
Closing Price,158.26
Day Change $,2.04
Day Change %,0.0131
Day High,159.36
Day Low,157.88
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",8.6
Ex-dividend,2020-02-27 00:00:00
Ex-dividend Date,02/27/20
Historical Volatility,0.408
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,107.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.4
Prev Close,156.22
Short Interest,0.0121
Today's Open,158.69
Volume,2309368.0
Volume 10-day Avg,3066723.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.23261390887290168
Growth 1yr High Est,-0.09000000000000008
Growth 1yr Consensus Est,-0.16130695443645088
Growth 2yr Low Est,0.033693045563549184
Growth 2yr High Est,0.0716056166056166
Growth 2yr Consensus Est,0.05264933108458289
Growth 5yr Low Est,0.12240835225664756
Growth 5yr High Est,0.1581508883392077
Growth 5yr Consensus Est,0.14027962029792762
Growth 5yr Actual/Est,0.13072656310228503
Growth 3yr Historic,0.10639174740004675
Price/Earnings (TTM),18.40297
Price/Sales (TTM),4.98261
Price/Book (MRQ),6.71557
Price/Cash Flow (TTM),12.98551
5yr Low,67.06
5yr High,188.96
5yr Avg Return,0.09918333333333335
EPS Growth 5yr,0.0783633
Revenue Growth 5yr,-0.0197764
Dividend Growth 5yr,0.1543697
Short Int Current Month,8308831.0
Short Int Prev Month,8239125.0
Short Int Pct of Float,0.0120578
Days to Cover,2.20156
Float,677.3375
Shares Outstanding,678.5681
Institutions Holding Shares,2396.0
FCF Growth 5yr,0.15648036493204087
"Price/Earnings (TTM, GAAP)",18.4
"PEG Ratio (TTM, GAAP)",1.8
Gross Profit Margin (TTM),0.8047
Operating Profit Margin (TTM),0.4053
Net Profit Margin (TTM),0.2785
Annual Dividend Yield,0.0245
Dividend Change %,0.20920000000000002
"Dividend Growth Rate, 3 Years",0.1795
EPS Growth (MRQ),0.0641
EPS Growth (TTM),0.0514
Revenue Growth (MRQ),0.0033000000000000004
Revenue Growth (TTM),-0.052199999999999996
Return On Equity (TTM),0.35590000000000005
Return On Assets (TTM),0.09720000000000001
Return On Investment (TTM),0.10560000000000001
Revenue Per Employee (TTM),575007.0
Total Debt/Total Capital (MRQ),0.6355
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),0.67
Interest Coverage (MRQ),7.88
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,3
theStreet,buy
cfra,3
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2009-05-05 00:00:00
cfra since,2019-07-01 00:00:00
ford since,2019-09-06 00:00:00
creditSuisse since,2008-10-14 00:00:00
