,AMGN
% Below High,0.0415
% Held by Institutions,0.7553
52-Wk Range,['166.30 - 244.99']
Annual Dividend $,6.4
Annual Dividend %,0.0274
Ask,236.8
Ask Size,500.0
Ask close,235.43
B/A Ratio,0.2
B/A Size,100x500
Beta,1.0
Bid,235.0
Bid Size,100.0
Bid close,234.7
Change Since Close,0.48| |(0.20%)
Closing Price,234.82
Day Change $,1.49
Day Change %,0.0064
Day High,235.73
Day Low,231.6
Dividend Pay Date,2020-06-08 00:00:00
"EPS (TTM, GAAP)",12.77
Ex-dividend,2020-05-15 00:00:00
Ex-dividend Date,05/15/20
Historical Volatility,0.348
Last (size),10.0
Last (time),4:15p ET 05/08/20
Last Trade,235.3
Market Cap,138.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.28
Prev Close,233.33
Short Interest,0.013000000000000001
Today's Open,234.95
Volume,1534369.0
Volume 10-day Avg,2641143.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.03402777777777777
Growth 1yr High Est,0.08322237017310252
Growth 1yr Consensus Est,0.058625073975440145
Growth 2yr Low Est,0.04152698492649798
Growth 2yr High Est,0.1347273498068955
Growth 2yr Consensus Est,0.08812716736669673
Growth 5yr Low Est,0.05808264139941921
Growth 5yr High Est,0.10698116565136062
Growth 5yr Consensus Est,0.08253190352538992
Growth 5yr Actual/Est,0.07843689229827078
Growth 3yr Historic,0.043460188129305743
Price/Earnings (TTM),18.27714
Price/Sales (TTM),5.7271
Price/Book (MRQ),14.46474
Price/Cash Flow (TTM),13.34783
5yr Low,130.09
5yr High,244.99
5yr Avg Return,0.07075000000000001
EPS Growth 5yr,0.1396299
Revenue Growth 5yr,0.0309149
Dividend Growth 5yr,0.1890706
Short Int Current Month,7604084.0
Short Int Prev Month,8285399.0
Short Int Pct of Float,0.0129685
Days to Cover,2.9808
Float,586.4585
Shares Outstanding,588.2474
Institutions Holding Shares,2598.0
FCF Growth 5yr,-0.008273603578562772
"Price/Earnings (TTM, GAAP)",18.28
"PEG Ratio (TTM, GAAP)",3.07
Gross Profit Margin (TTM),0.7991
Operating Profit Margin (TTM),0.39880000000000004
Net Profit Margin (TTM),0.32020000000000004
Annual Dividend Yield,0.027400000000000004
Dividend Change %,0.0985
"Dividend Growth Rate, 3 Years",0.1319
EPS Growth (MRQ),0.077
EPS Growth (TTM),0.018600000000000002
Revenue Growth (MRQ),-0.0058
Revenue Growth (TTM),0.0091
Return On Equity (TTM),0.7555
Return On Assets (TTM),0.12210000000000001
Return On Investment (TTM),0.1518
Revenue Per Employee (TTM),1024188.0
Total Debt/Total Capital (MRQ),0.7705
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),1.28
Interest Coverage (MRQ),7.03
newConstructs,2
researchTeam,accumulate
cfra,4
theStreet,buy
ford,2
marketEdge opinion,long
marketEdge,0
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
cfra since,2020-03-14 00:00:00
theStreet since,2018-05-29 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-05-20 00:00:00
