,EOG
% Above Low,0.9055
% Held by Institutions,0.8778
52-Wk Range,['27.00 - 96.25']
Annual Dividend $,1.5
Annual Dividend %,0.031
Ask,53.2
Ask Size,1500.0
B/A Ratio,0.06666666666666667
B/A Size,100x1500
Beta,2.0
Bid,51.91
Bid Size,100.0
Closing Price,51.45
Day Change $,3.14
Day Change %,0.065
Day High,51.51
Day Low,48.46
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",3.64
Ex-dividend,2020-04-15 00:00:00
Ex-dividend Date,04/15/20
Historical Volatility,0.679
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,29.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.28
Prev Close,48.31
Short Interest,0.0189
Today's Open,49.3
Volume,7285828.0
Volume 10-day Avg,5774053.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,32.0
Growth 1yr Low Est,-1.305084745762712
Growth 1yr High Est,-0.775716694772344
Growth 1yr Consensus Est,-1.0404007202675278
Growth 2yr Low Est,-0.5890503093892925
Growth 2yr High Est,0.6986078180273617
Growth 2yr Consensus Est,0.05477875431903462
Growth 5yr Low Est,-0.4306115081193281
Growth 5yr High Est,0.4486718786849078
Growth 5yr Consensus Est,0.009030185282789871
Growth 5yr Actual/Est,1.041414762762641
Growth 3yr Historic,0.9613363847343992
Price/Earnings (TTM),13.28026
Price/Sales (TTM),1.57133
Price/Book (MRQ),1.30961
Price/Cash Flow (TTM),4.70261
5yr Low,27.0
5yr High,133.53
5yr Avg Return,-0.0629
EPS Growth 5yr,-0.0239187
Revenue Growth 5yr,-0.003116
Dividend Growth 5yr,0.0978515
Short Int Current Month,10973350.0
Short Int Prev Month,12711341.0
Short Int Pct of Float,0.0189198
Days to Cover,1.39807
Float,580.1199
Shares Outstanding,582.0549
Institutions Holding Shares,1248.0
FCF Growth 5yr,1.7126716507193174
"Price/Earnings (TTM, GAAP)",13.28
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5606
Operating Profit Margin (TTM),0.16090000000000002
Net Profit Margin (TTM),0.11789999999999999
Annual Dividend Yield,0.031000000000000003
Dividend Change %,0.33640000000000003
"Dividend Growth Rate, 3 Years",0.1734
EPS Growth (MRQ),-0.9818000000000001
EPS Growth (TTM),-0.37200000000000005
Revenue Growth (MRQ),0.1193
Revenue Growth (TTM),0.0245
Return On Equity (TTM),0.102
Return On Assets (TTM),0.0576
Return On Investment (TTM),0.0652
Revenue Per Employee (TTM),6170729.0
Total Debt/Total Capital (MRQ),0.1956
Change in Debt/Total Capital Quarter over Quarter,-0.0022
Quick Ratio (MRQ),1.35
Interest Coverage (MRQ),34.04
newConstructs,3
researchTeam,hold
creditSuisse,outperform
theStreet,hold
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
creditSuisse since,2018-11-16 00:00:00
theStreet since,2019-08-16 00:00:00
cfra since,2020-03-14 00:00:00
ford since,2019-06-07 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
