,EOG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.28,-35.51,Valuation,-0.3739791607997747
Price/Sales (TTM),1.57,3.31,Valuation,0.4743202416918429
Price/Book (MRQ),1.31,2.33,Valuation,0.5622317596566524
"PEG Ratio (TTM, GAAP)",,0.32,Valuation,
Gross Profit Margin (TTM),0.5606,0.3982,Profitability,1.407835258663988
Operating Profit Margin (TTM),0.16090000000000002,-0.0002,Profitability,-804.5
Net Profit Margin (TTM),0.11789999999999999,-0.0029,Profitability,-40.6551724137931
Annual Dividend Yield,0.031000000000000003,0.0675,Dividend,0.45925925925925926
Dividend Change %,0.33640000000000003,0.1449,Dividend,2.3216011042098
"Dividend Growth Rate, 3 Years",0.1734,0.0891,Dividend,1.9461279461279462
EPS Growth (MRQ),-0.9818000000000001,-2.7653,Gowth rates,0.3550428524934004
EPS Growth (TTM),-0.37200000000000005,-1.0931,Gowth rates,0.34031653096697473
Revenue Growth (MRQ),0.1193,0.0496,Gowth rates,2.405241935483871
Revenue Growth (TTM),0.0245,-0.0147,Gowth rates,-1.6666666666666667
Return On Equity (TTM),0.102,0.053899999999999997,Effectiveness,1.8923933209647494
Return On Assets (TTM),0.0576,0.0173,Effectiveness,3.3294797687861273
Return On Investment (TTM),0.0652,0.0278,Effectiveness,2.3453237410071943
Revenue Per Employee (TTM),6170729.0,3759409.0,Effectiveness,1.6414093279023378
Total Debt/Total Capital (MRQ),0.1956,0.37229999999999996,Financial strength,0.5253827558420628
Change in Debt/Total Capital Quarter over Quarter,-0.0022,0.0016,Financial strength,-1.375
Quick Ratio (MRQ),1.35,0.78,Financial strength,1.7307692307692308
Interest Coverage (MRQ),34.04,3.59,Financial strength,9.481894150417828
