,EOG
Price/Earnings (TTM),13.28026
Price/Sales (TTM),1.57133
Price/Book (MRQ),1.30961
Price/Cash Flow (TTM),4.70261
5yr Low,27.0
5yr High,133.53
5yr Avg Return,-0.0629
EPS Growth 5yr,-0.0239187
Revenue Growth 5yr,-0.003116
Dividend Growth 5yr,0.0978515
Short Int Current Month,10973350.0
Short Int Prev Month,12711341.0
Short Int Pct of Float,0.0189198
Days to Cover,1.39807
Float,580.1199
Shares Outstanding,582.0549
Institutions Holding Shares,1248.0
% Held by Institutions,0.877808
FCF Growth 5yr,1.7126716507193174
