,GS
% Above Low,0.4168
% Held by Institutions,0.6957
52-Wk Range,['130.85 - 250.46']
Annual Dividend $,5.0
Annual Dividend %,0.0274
Ask,185.99
Ask Size,1500.0
B/A Ratio,0.06666666666666667
B/A Size,100x1500
Beta,1.4
Bid,183.5
Bid Size,100.0
Closing Price,185.39
Day Change $,3.07
Day Change %,0.0168
Day High,185.91
Day Low,182.74
Dividend Pay Date,2020-06-29 00:00:00
"EPS (TTM, GAAP)",18.41
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.461
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,63.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.9
Prev Close,182.32
Short Interest,0.0155
Today's Open,185.03
Volume,2282566.0
Volume 10-day Avg,2723126.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.6079573022804463
Growth 1yr High Est,-0.23611111111111127
Growth 1yr Consensus Est,-0.4220342066957788
Growth 2yr Low Est,0.16693719044393518
Growth 2yr High Est,0.09682047750229567
Growth 2yr Consensus Est,0.13187883397311542
Growth 5yr Low Est,0.11813710350926038
Growth 5yr High Est,0.10318191653462658
Growth 5yr Consensus Est,0.11065951002194348
Growth 5yr Actual/Est,0.08515269048246468
Growth 3yr Historic,0.027764565766643323
Price/Earnings (TTM),9.90468
Price/Sales (TTM),1.16785
Price/Book (MRQ),0.7723
Price/Cash Flow (TTM),7.28108
5yr Low,130.85
5yr High,275.31
5yr Avg Return,0.02691666666666667
EPS Growth 5yr,0.042628000000000006
Revenue Growth 5yr,0.0649693
Dividend Growth 5yr,0.13024639999999998
Short Int Current Month,5426526.0
Short Int Prev Month,5427022.0
Short Int Pct of Float,0.0154733
Days to Cover,1.28746
Float,341.6963
Shares Outstanding,343.8866
Institutions Holding Shares,1702.0
FCF Growth 5yr,-1.7227875274637756
"Price/Earnings (TTM, GAAP)",9.9
"PEG Ratio (TTM, GAAP)",1.84
Gross Profit Margin (TTM),0.6293
Operating Profit Margin (TTM),0.1716
Net Profit Margin (TTM),0.1384
Annual Dividend Yield,0.027400000000000004
Dividend Change %,0.3175
"Dividend Growth Rate, 3 Years",0.16870000000000002
EPS Growth (MRQ),-0.3372
EPS Growth (TTM),-0.1908
Revenue Growth (MRQ),-0.1387
Revenue Growth (TTM),0.0092
Return On Equity (TTM),0.0853
Return On Assets (TTM),0.0074
Return On Investment (TTM),0.0165
Revenue Per Employee (TTM),1401723.0
Total Debt/Total Capital (MRQ),0.8706999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,2
researchTeam,hold
cfra,3
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
cfra since,2020-04-16 00:00:00
theStreet since,2020-03-23 00:00:00
ford since,2020-02-28 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-07-17 00:00:00
