,LUV
% Above Low,0.0981
% Held by Institutions,0.7409
52-Wk Range,['24.77 - 58.83']
Annual Dividend $,
Annual Dividend %,
Ask,27.2
Ask Size,100.0
B/A Ratio,12.0
B/A Size,1200x100
Beta,1.3
Bid,26.7
Bid Size,1200.0
Closing Price,27.2
Day Change $,1.75
Day Change %,0.0688
Day High,27.23
Day Low,25.91
Dividend Pay Date,03/25/20
"EPS (TTM, GAAP)",3.33
Ex-dividend Date,03/03/20
Historical Volatility,0.48
Last (size),329.0
Last (time),6:30p ET 05/08/20
Market Cap,16.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",7.64
Prev Close,25.45
Short Interest,0.0165
Today's Open,26.04
Volume,19156085.0
Volume 10-day Avg,40358705.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-2.5
Growth 1yr High Est,-1.550660792951542
Growth 1yr Consensus Est,-2.0253303964757707
Growth 2yr Low Est,-1.79874213836478
Growth 2yr High Est,-1.9453303964757709
Growth 2yr Consensus Est,-1.8720362674202753
Growth 5yr Low Est,-0.8411268814773549
Growth 5yr High Est,-0.923565821271628
Growth 5yr Consensus Est,-0.8823463513744914
Growth 5yr Actual/Est,-0.819772683081412
Growth 3yr Historic,0.065239218328841
Price/Earnings (TTM),7.63501
Price/Sales (TTM),0.69728
Price/Book (MRQ),1.45567
Price/Cash Flow (TTM),4.96355
5yr Low,24.77
5yr High,66.99
5yr Avg Return,-0.021
EPS Growth 5yr,0.20778639999999998
Revenue Growth 5yr,0.038083200000000005
Dividend Growth 5yr,
Short Int Current Month,8369116.0
Short Int Prev Month,9672114.0
Short Int Pct of Float,0.0165248
Days to Cover,0.91546
Float,587.4458
Shares Outstanding,589.3856
Institutions Holding Shares,1121.0
FCF Growth 5yr,0.29874397303594186
"Price/Earnings (TTM, GAAP)",7.64
"PEG Ratio (TTM, GAAP)",0.76
Gross Profit Margin (TTM),0.7411
Operating Profit Margin (TTM),0.10890000000000001
Net Profit Margin (TTM),0.08310000000000001
Annual Dividend Yield,
Dividend Change %,0.157
"Dividend Growth Rate, 3 Years",0.2313
EPS Growth (MRQ),-1.1996
EPS Growth (TTM),-0.2097
Revenue Growth (MRQ),-0.2611
Revenue Growth (TTM),-0.029700000000000004
Return On Equity (TTM),0.1895
Return On Assets (TTM),0.067
Return On Investment (TTM),0.10400000000000001
Revenue Per Employee (TTM),353816.0
Total Debt/Total Capital (MRQ),0.359
Change in Debt/Total Capital Quarter over Quarter,0.0058
Quick Ratio (MRQ),0.64
Interest Coverage (MRQ),-18.33
newConstructs,1
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,0
theStreet,hold
cfra,3
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-04 00:00:00
cfra since,2019-02-26 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,2018-11-19 00:00:00
