,BDX
% Below High,0.1124
% Held by Institutions,0.8606
52-Wk Range,['197.75 - 286.72']
Annual Dividend $,3.16
Annual Dividend %,0.0123
Ask,255.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,250.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,254.48
Day Change $,-1.77
Day Change %,-0.0069
Day High,259.76
Day Low,254.01
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",3.1
Ex-dividend,2020-06-08 00:00:00
Ex-dividend Date,06/08/20
Historical Volatility,0.341
Last (size),100.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,72.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",82.56
Prev Close,256.25
Short Interest,0.0231
Today's Open,259.22
Volume,1417379.0
Volume 10-day Avg,1572185.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.13991416309012883
Growth 1yr High Est,-0.04340425531914893
Growth 1yr Consensus Est,-0.09165920920463888
Growth 2yr Low Est,0.00988323781621303
Growth 2yr High Est,0.08016619974256067
Growth 2yr Consensus Est,0.04502471877938685
Growth 5yr Low Est,0.06237144900741043
Growth 5yr High Est,0.09670967762788907
Growth 5yr Consensus Est,0.07954056331764975
Growth 5yr Actual/Est,0.07965355025343868
Growth 3yr Historic,0.0555615435909817
Price/Earnings (TTM),82.55716
Price/Sales (TTM),3.99082
Price/Book (MRQ),3.32439
Price/Cash Flow (TTM),22.8204
5yr Low,128.87
5yr High,286.72
5yr Avg Return,0.11976666666666666
EPS Growth 5yr,-0.0892439
Revenue Growth 5yr,0.154061
Dividend Growth 5yr,0.0715658
Short Int Current Month,6236525.0
Short Int Prev Month,4238912.0
Short Int Pct of Float,0.023060200000000003
Days to Cover,3.50666
Float,270.116
Shares Outstanding,271.1732
Institutions Holding Shares,1824.0
FCF Growth 5yr,0.19072817115270202
"Price/Earnings (TTM, GAAP)",82.56
"PEG Ratio (TTM, GAAP)",10.45
Gross Profit Margin (TTM),0.4647
Operating Profit Margin (TTM),0.09240000000000001
Net Profit Margin (TTM),0.0576
Annual Dividend Yield,0.0123
Dividend Change %,0.0267
"Dividend Growth Rate, 3 Years",0.0527
EPS Growth (MRQ),-0.396
EPS Growth (TTM),-0.3531
Revenue Growth (MRQ),0.006600000000000001
Revenue Growth (TTM),0.0221
Return On Equity (TTM),0.0404
Return On Assets (TTM),0.0189
Return On Investment (TTM),0.0222
Revenue Per Employee (TTM),248413.0
Total Debt/Total Capital (MRQ),0.5025999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),0.66
Interest Coverage (MRQ),5.39
newConstructs,4
researchTeam,hold
theStreet,hold
cfra,3
ford,3
marketEdge opinion,long
marketEdge,-1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2020-03-10 00:00:00
cfra since,2020-02-07 00:00:00
ford since,2018-11-09 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
