,CHRW
% Above Low,0.2961
% Held by Institutions,0.9704999999999999
52-Wk Range,['56.94 - 91.23']
Annual Dividend $,2.04
Annual Dividend %,0.028399999999999998
Ask,73.79
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.5
Bid,68.0
Bid Size,200.0
Closing Price,73.8
Day Change $,1.85
Day Change %,0.025699999999999997
Day High,74.04
Day Low,72.23
Dividend Pay Date,2020-03-27 00:00:00
"EPS (TTM, GAAP)",3.6
Ex-dividend,2020-03-05 00:00:00
Ex-dividend Date,03/05/20
Historical Volatility,0.326
Last (size),1.0
Last (time),3:59p ET 05/08/20
Market Cap,9.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.01
Prev Close,71.95
Short Interest,0.0955
Today's Open,72.5
Volume,1466743.0
Volume 10-day Avg,1883653.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.4418604651162791
Growth 1yr High Est,-0.29359823399558493
Growth 1yr Consensus Est,-0.367729349555932
Growth 2yr Low Est,-0.13759689922480617
Growth 2yr High Est,0.04070088300220753
Growth 2yr Consensus Est,-0.04844800811129932
Growth 5yr Low Est,0.015182463816363095
Growth 5yr High Est,0.10085535033700838
Growth 5yr Consensus Est,0.058018907076685736
Growth 5yr Actual/Est,0.06537130968037838
Growth 3yr Historic,0.07444384841122087
Price/Earnings (TTM),20.01035
Price/Sales (TTM),0.63041
Price/Book (MRQ),6.10129
Price/Cash Flow (TTM),16.3158
5yr Low,56.94
5yr High,101.2
5yr Avg Return,0.030366666666666667
EPS Growth 5yr,0.0656581
Revenue Growth 5yr,0.0259313
Dividend Growth 5yr,0.07046380000000001
Short Int Current Month,12393586.0
Short Int Prev Month,12672420.0
Short Int Pct of Float,0.095486
Days to Cover,6.4665
Float,129.9109
Shares Outstanding,134.61
Institutions Holding Shares,793.0
FCF Growth 5yr,0.13613770175325646
"Price/Earnings (TTM, GAAP)",20.01
"PEG Ratio (TTM, GAAP)",2.0
Gross Profit Margin (TTM),0.1611
Operating Profit Margin (TTM),0.043899999999999995
Net Profit Margin (TTM),0.032100000000000004
Annual Dividend Yield,0.028399999999999998
Dividend Change %,0.06910000000000001
"Dividend Growth Rate, 3 Years",0.0493
EPS Growth (MRQ),-0.2113
EPS Growth (TTM),-0.26789999999999997
Revenue Growth (MRQ),0.0031
Revenue Growth (TTM),-0.0665
Return On Equity (TTM),0.30460000000000004
Return On Assets (TTM),0.1034
Return On Investment (TTM),0.15630000000000002
Revenue Per Employee (TTM),995871.0
Total Debt/Total Capital (MRQ),0.48
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),7.19
newConstructs,1
researchTeam,reduce
cfra,3
theStreet,hold
ford,4
marketEdge opinion,long
marketEdge,-1
creditSuisse,underperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-02-07 00:00:00
cfra since,2019-10-30 00:00:00
theStreet since,2020-03-11 00:00:00
ford since,2020-02-07 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2014-10-30 00:00:00
