,LNT
% Above Low,0.2743
% Held by Institutions,0.7587999999999999
52-Wk Range,['37.66 - 60.28']
Annual Dividend $,1.52
Annual Dividend %,0.0329
Ask,57.57
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.4
Bid,46.36
Bid Size,200.0
Closing Price,47.99
Day Change $,1.75
Day Change %,0.0378
Day High,48.21
Day Low,46.55
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",2.5
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.359
Last (size),28.0
Last (time),4:15p ET 05/08/20
Market Cap,11.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",18.52
Prev Close,46.24
Short Interest,0.0155
Today's Open,47.47
Volume,1311999.0
Volume 10-day Avg,1428923.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.004366812227074357
Growth 1yr High Est,0.05579399141630903
Growth 1yr Consensus Est,0.025713589594617337
Growth 2yr Low Est,0.059220102658392726
Growth 2yr High Est,0.05838480058620332
Growth 2yr Consensus Est,0.058802451622298024
Growth 5yr Low Est,0.07577924914851103
Growth 5yr High Est,0.07309291717880734
Growth 5yr Consensus Est,0.07443608316365918
Growth 5yr Actual/Est,0.07570684060540644
Growth 3yr Historic,0.04952126262505674
Price/Earnings (TTM),18.52364
Price/Sales (TTM),3.17071
Price/Book (MRQ),2.09673
Price/Cash Flow (TTM),9.62
5yr Low,27.14
5yr High,60.28
5yr Avg Return,0.09015
EPS Growth 5yr,0.0603073
Revenue Growth 5yr,0.0171549
Dividend Growth 5yr,0.0684092
Short Int Current Month,3792741.0
Short Int Prev Month,3760994.0
Short Int Pct of Float,0.0154951
Days to Cover,2.64912
Float,240.4929
Shares Outstanding,245.2227
Institutions Holding Shares,754.0
FCF Growth 5yr,1.4355891981866142
"Price/Earnings (TTM, GAAP)",18.52
"PEG Ratio (TTM, GAAP)",3.56
Gross Profit Margin (TTM),0.3895
Operating Profit Margin (TTM),0.2207
Net Profit Margin (TTM),0.17120000000000002
Annual Dividend Yield,0.0329
Dividend Change %,0.059699999999999996
"Dividend Growth Rate, 3 Years",0.0652
EPS Growth (MRQ),0.5047
EPS Growth (TTM),0.1486
Revenue Growth (MRQ),0.0404
Revenue Growth (TTM),-0.008100000000000001
Return On Equity (TTM),0.1182
Return On Assets (TTM),0.0376
Return On Investment (TTM),0.0417
Revenue Per Employee (TTM),994217.0
Total Debt/Total Capital (MRQ),0.5312
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.79
theStreet,buy
newConstructs,3
researchTeam,reduce
marketEdge opinion,avoid
marketEdge,0
cfra,3
ford,1
creditSuisse,
theStreet since,2010-08-06 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-08-10 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,
