,ROP
% Below High,0.0928
% Held by Institutions,0.9475
52-Wk Range,['240.00 - 395.00']
Annual Dividend $,2.05
Annual Dividend %,0.0058
Ask,364.0
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.0
Bid,300.03
Bid Size,100.0
Closing Price,358.36
Day Change $,2.17
Day Change %,0.0060999999999999995
Day High,362.32
Day Low,357.28
Dividend Pay Date,2020-04-22 00:00:00
"EPS (TTM, GAAP)",15.59
Ex-dividend,2020-04-07 00:00:00
Ex-dividend Date,04/07/20
Historical Volatility,0.38799999999999996
Last (size),2000.0
Last (time),6:30p ET 05/08/20
Market Cap,37.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.99
Prev Close,356.19
Short Interest,0.0189
Today's Open,359.61
Volume,573589.0
Volume 10-day Avg,771785.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.09861325115562414
Growth 1yr High Est,-0.032258064516129004
Growth 1yr Consensus Est,-0.06543565783587657
Growth 2yr Low Est,-0.030075856347042795
Growth 2yr High Est,0.08307731694828469
Growth 2yr Consensus Est,0.026500730300620945
Growth 5yr Low Est,0.0767970654337341
Growth 5yr High Est,0.13273105806453944
Growth 5yr Consensus Est,0.10476406174913677
Growth 5yr Actual/Est,0.09435761926520878
Growth 3yr Historic,0.08967781630954375
Price/Earnings (TTM),22.98526
Price/Sales (TTM),6.88941
Price/Book (MRQ),3.90057
Price/Cash Flow (TTM),18.03315
5yr Low,150.91
5yr High,395.0
5yr Avg Return,0.14550000000000002
EPS Growth 5yr,0.21306619999999998
Revenue Growth 5yr,0.0862
Dividend Growth 5yr,0.1825414
Short Int Current Month,1968887.0
Short Int Prev Month,1778020.0
Short Int Pct of Float,0.018906799999999998
Days to Cover,4.02975
Float,102.3934
Shares Outstanding,104.3966
Institutions Holding Shares,1164.0
FCF Growth 5yr,0.09870053002588337
"Price/Earnings (TTM, GAAP)",22.99
"PEG Ratio (TTM, GAAP)",4.18
Gross Profit Margin (TTM),0.6396000000000001
Operating Profit Margin (TTM),0.424
Net Profit Margin (TTM),0.3018
Annual Dividend Yield,0.005699999999999999
Dividend Change %,0.12119999999999999
"Dividend Growth Rate, 3 Years",0.1552
EPS Growth (MRQ),-0.7239
EPS Growth (TTM),0.49729999999999996
Revenue Growth (MRQ),-0.0316
Revenue Growth (TTM),0.029300000000000003
Return On Equity (TTM),0.18489999999999998
Return On Assets (TTM),0.0977
Return On Investment (TTM),0.11019999999999999
Revenue Per Employee (TTM),329909.0
Total Debt/Total Capital (MRQ),0.35490000000000005
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),0.87
Interest Coverage (MRQ),7.69
newConstructs,4
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,buy
cfra,3
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2009-11-01 00:00:00
cfra since,2019-04-25 00:00:00
ford since,2019-10-18 00:00:00
creditSuisse since,
