,DISH
% Above Low,0.5056
% Held by Institutions,0.8217
52-Wk Range,['17.09 - 44.48']
Annual Dividend $,
Annual Dividend %,
Ask,25.88
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.7
Bid,25.72
Bid Size,100.0
Closing Price,25.73
Day Change $,2.38
Day Change %,0.10189999999999999
Day High,25.86
Day Low,23.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.08
Ex-dividend Date,No dividend
Historical Volatility,0.5770000000000001
Last (size),196.0
Last (time),4:00p ET 05/08/20
Market Cap,13.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",11.22
Prev Close,23.35
Short Interest,0.0432
Today's Open,24.2
Volume,3641910.0
Volume 10-day Avg,3010021.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.33333333333333337
Growth 1yr High Est,0.09056603773584904
Growth 1yr Consensus Est,-0.12138364779874217
Growth 2yr Low Est,-0.36919831223628696
Growth 2yr High Est,0.024521773193183993
Growth 2yr Consensus Est,-0.17233826952155148
Growth 5yr Low Est,-0.09287606274679636
Growth 5yr High Est,0.10295266205177733
Growth 5yr Consensus Est,0.005038299652490488
Growth 5yr Actual/Est,0.034141782242502416
Growth 3yr Historic,0.10671422101449277
Price/Earnings (TTM),11.21626
Price/Sales (TTM),0.95134
Price/Book (MRQ),1.04807
Price/Cash Flow (TTM),6.51442
5yr Low,17.09
5yr High,75.99
5yr Avg Return,-0.10039999999999999
EPS Growth 5yr,0.0505958
Revenue Growth 5yr,-0.0264331
Dividend Growth 5yr,
Short Int Current Month,10526107.0
Short Int Prev Month,9714394.0
Short Int Pct of Float,0.0431962
Days to Cover,3.60951
Float,242.6035
Shares Outstanding,523.0515
Institutions Holding Shares,584.0
FCF Growth 5yr,-1.444024095409257
"Price/Earnings (TTM, GAAP)",11.22
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3057
Operating Profit Margin (TTM),0.122
Net Profit Margin (TTM),0.0959
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8207
EPS Growth (TTM),-0.28940000000000005
Revenue Growth (MRQ),-0.0072
Revenue Growth (TTM),-0.0384
Return On Equity (TTM),0.1099
Return On Assets (TTM),0.037700000000000004
Return On Investment (TTM),0.045
Revenue Per Employee (TTM),802371.0
Total Debt/Total Capital (MRQ),0.5362
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),0.93
Interest Coverage (MRQ),1076.34
newConstructs,3
researchTeam,reduce
creditSuisse,neutral
cfra,3
theStreet,hold
ford,1
marketEdge opinion,avoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-09 00:00:00
creditSuisse since,2019-05-06 00:00:00
cfra since,2019-11-07 00:00:00
theStreet since,2017-08-04 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
