,2015,2016,2017,2018,2019,2020,Report
high,186.89,192.29,199.52,191.91,222.87,229.4,
low,158.72,158.32,169.5,152.65,168.34,118.17,
change,0.0983,-0.0285,0.0006,-0.025400000000000002,0.2152,-0.2209,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,401.0,215.0,67.0,92.0,40.0,,Balance Sheet
Total Inventory,502.0,105.0,68.0,140.0,497.0,,Balance Sheet
Prepaid Expenses,199.0,257.0,253.0,135.0,165.0,,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Prop./Plant/Equip. - Gross,17151.0,18789.0,20561.0,20424.0,21797.0,,Balance Sheet
Accumulated Depreciation,-3304.0,-3744.0,-4218.0,-4601.0,-5164.0,,Balance Sheet
Prop./Plant/Equip. - Net,15440.0,16928.0,17649.0,17591.0,18061.0,,Balance Sheet
Long Term Investments,217.0,175.0,163.0,217.0,166.0,,Balance Sheet
Deferred Charges,38.0,40.0,46.0,47.0,70.0,,Balance Sheet
Restricted Cash - LT,105.0,115.0,135.0,126.0,88.0,,Balance Sheet
Other Assets,30.0,32.0,33.0,32.0,34.0,,Balance Sheet
"Other Assets, Total",30.0,32.0,33.0,32.0,34.0,,Balance Sheet
Total Assets,16931.0,17867.0,18415.0,18380.0,19121.0,,Balance Sheet
Accounts Payable,99.0,101.0,85.0,97.0,92.0,,Balance Sheet
Accrued Expenses,300.0,313.0,351.0,344.0,441.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Dividends Payable,171.0,185.0,196.0,204.0,215.0,,Balance Sheet
Security Deposits,53.0,57.0,58.0,58.0,62.0,,Balance Sheet
"Other Curr. Lblts, Total",224.0,242.0,255.0,263.0,277.0,,Balance Sheet
Total Current Liabilities,,,,,,,Balance Sheet
Long Term Debt,6457.0,7031.0,7329.0,7040.0,7296.0,,Balance Sheet
Capital Lease Obligations,,,,,20.0,,Balance Sheet
Total Long Term Debt,6457.0,7031.0,7329.0,7040.0,7316.0,,Balance Sheet
Total Debt,6457.0,7031.0,7329.0,7040.0,7316.0,,Balance Sheet
