,ETFC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.55,17.31,Valuation,0.6672443674176778
Price/Sales (TTM),2.87,8.13,Valuation,0.35301353013530135
Price/Book (MRQ),1.52,80.34,Valuation,0.018919591735125717
"PEG Ratio (TTM, GAAP)",,6.9,Valuation,
Gross Profit Margin (TTM),0.8745999999999999,0.46159999999999995,Profitability,1.8947140381282497
Operating Profit Margin (TTM),0.38450000000000006,0.29710000000000003,Profitability,1.294177044766072
Net Profit Margin (TTM),0.2749,0.19899999999999998,Profitability,1.3814070351758794
Annual Dividend Yield,0.013999999999999999,0.027999999999999997,Dividend,0.5
Dividend Change %,3.0,0.1463,Dividend,20.505809979494188
"Dividend Growth Rate, 3 Years",,0.1512,Dividend,
EPS Growth (MRQ),-0.053899999999999997,-0.2898,Gowth rates,0.1859903381642512
EPS Growth (TTM),-0.15660000000000002,0.025099999999999997,Gowth rates,-6.239043824701197
Revenue Growth (MRQ),0.0149,-0.1888,Gowth rates,-0.07891949152542373
Revenue Growth (TTM),-0.0147,0.0144,Gowth rates,-1.0208333333333333
Return On Equity (TTM),0.1352,4.7117,Effectiveness,0.028694526391748194
Return On Assets (TTM),0.0125,0.0579,Effectiveness,0.2158894645941278
Return On Investment (TTM),0.0947,0.11359999999999999,Effectiveness,0.8336267605633804
Revenue Per Employee (TTM),750488.0,838425.0,Effectiveness,0.895116438560396
Total Debt/Total Capital (MRQ),0.8698,0.42210000000000003,Financial strength,2.060649135276001
Change in Debt/Total Capital Quarter over Quarter,-0.001,0.0005,Financial strength,-2.0
Quick Ratio (MRQ),,0.0,Financial strength,
Interest Coverage (MRQ),,12.55,Financial strength,
