,ETFC
% Above Low,0.5998
% Held by Institutions,0.9389
52-Wk Range,['25.76 - 57.30']
Annual Dividend $,0.56
Annual Dividend %,0.013999999999999999
Ask,42.99
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,39.75
Bid Size,200.0
Closing Price,41.21
Day Change $,1.24
Day Change %,0.031
Day High,41.3
Day Low,40.3
Dividend Pay Date,2020-05-19 00:00:00
"EPS (TTM, GAAP)",3.46
Ex-dividend,2020-05-12 00:00:00
Ex-dividend Date,05/12/20
Historical Volatility,0.628
Last (size),4.0
Last (time),3:59p ET 05/08/20
Market Cap,9.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.55
Prev Close,39.97
Short Interest,0.051699999999999996
Today's Open,40.61
Volume,2368422.0
Volume 10-day Avg,2709812.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.39632545931758534
Growth 1yr High Est,-0.18734177215189873
Growth 1yr Consensus Est,-0.29183361573474204
Growth 2yr Low Est,-0.3068583818327057
Growth 2yr High Est,-0.14818802003233567
Growth 2yr Consensus Est,-0.22752320093252068
Growth 5yr Low Est,0.02133584667763208
Growth 5yr High Est,0.1043521676583537
Growth 5yr Consensus Est,0.06284400716799289
Growth 5yr Actual/Est,0.06486110047027846
Growth 3yr Historic,0.15908395946182075
Price/Earnings (TTM),11.54808
Price/Sales (TTM),2.87138
Price/Book (MRQ),1.51538
Price/Cash Flow (TTM),8.73046
5yr Low,19.61
5yr High,66.46
5yr Avg Return,0.07375
EPS Growth 5yr,0.3101478
Revenue Growth 5yr,0.0923653
Dividend Growth 5yr,
Short Int Current Month,11334383.0
Short Int Prev Month,11378368.0
Short Int Pct of Float,0.051729500000000005
Days to Cover,2.24234
Float,219.1631
Shares Outstanding,221.0464
Institutions Holding Shares,671.0
FCF Growth 5yr,0.7642077857836835
"Price/Earnings (TTM, GAAP)",11.55
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8745999999999999
Operating Profit Margin (TTM),0.38450000000000006
Net Profit Margin (TTM),0.2749
Annual Dividend Yield,0.013999999999999999
Dividend Change %,3.0
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.053899999999999997
EPS Growth (TTM),-0.15660000000000002
Revenue Growth (MRQ),0.0149
Revenue Growth (TTM),-0.0147
Return On Equity (TTM),0.1352
Return On Assets (TTM),0.0125
Return On Investment (TTM),0.0947
Revenue Per Employee (TTM),750488.0
Total Debt/Total Capital (MRQ),0.8698
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,2
researchTeam,reduce
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2020-03-17 00:00:00
cfra since,2019-11-22 00:00:00
ford since,2020-01-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-02-24 00:00:00
